NumReports,_timediff,c,cn,company,department,description,displayName,dn,givenName,l,mail,manager,managerdepartment,name,o,physicalDeliveryOfficeName,sAMAccountName,sn,st,telephoneNumber,title,whenChanged
0,,,USA,Apex Rendered,Finance,,Alfred Adams,"CN=Alfred Adams,OU=Finance,OU=User Accounts,DC=apexrendered,DC=com",Alfred Adams,,aadams@apexrendered.com,"CN=Sally Smith,OU=Finance,OU=User Accounts,DC=apexrendered,DC=com",Finance,Alfred Adams,,,aadams,,,,Financial Analyst,
0,,,USA,Apex Rendered,Finance,,Matt Murphy,"CN=Matt Murphy,OU=Finance,OU=User Accounts,DC=apexrendered,DC=com",Matt Murphy,,mmurphy@apexrendered.com,"CN=Lisa Lee,OU=Finance,OU=User Accounts,DC=apexrendered,DC=com",Finance,Matt Murphy,,,mmurphy,,,,Financial Analyst,
2,,,USA,Apex Rendered,Finance,,Lisa Lee,"CN=Lisa Lee,OU=Finance,OU=User Accounts,DC=apexrendered,DC=com",Lisa Lee,,llee@apexrendered.com,"CN=Sally Smith,OU=Finance,OU=User Accounts,DC=apexrendered,DC=com",Finance,Lisa Lee,,,llee,,,,Financial Analyst,
0,,,USA,Apex Rendered,Finance,,Barb Bell,"CN=Barb Bell,OU=Finance,OU=User Accounts,DC=apexrendered,DC=com",Barb Bell,,bbell@apexrendered.com,"CN=Lisa Lee,OU=Finance,OU=User Accounts,DC=apexrendered,DC=com",Finance,Barb Bell,,,bbell,,,,Financial Analyst,
0,,,USA,Apex Rendered,Admin,,Henry Harris,"CN=Henry Harris,OU=Admin,OU=User Accounts,DC=apexrendered,DC=com",Henry Harris,,hharris@apexrendered.com,"CN=Winnie Wilson,OU=Human Resources,OU=User Accounts,DC=apexrendered,DC=com",Human Resources,Henry Harris,,,hharris,,,,Office Manager,
2,,,USA,Apex Rendered,Product,,Theo Thomas,"CN=Theo Thomas,OU=Product,OU=User Accounts,DC=apexrendered,DC=com",Theo Thomas,,tthomas@apexrendered.com,"CN=Cory Cooper,OU=Product,OU=User Accounts,DC=apexrendered,DC=com",Product,Theo Thomas,,,tthomas,,,,Product Manager,
0,,,USA,Apex Rendered,Product,,Jamie Jones,"CN=Jamie Jones,OU=Product,OU=User Accounts,DC=apexrendered,DC=com",Jamie Jones,,jjones@apexrendered.com,"CN=Theo Thomas,OU=Product,OU=User Accounts,DC=apexrendered,DC=com",Product,Jamie Jones,,,jjones,,,,Product Manager,
0,,,USA,Apex Rendered,Product,,Nancy Nguyen,"CN=Nancy Nguyen,OU=Product,OU=User Accounts,DC=apexrendered,DC=com",Nancy Nguyen,,nnguyen@apexrendered.com,"CN=Theo Thomas,OU=Product,OU=User Accounts,DC=apexrendered,DC=com",Product,Nancy Nguyen,,,nnguyen,,,,Product Manager,
1,,,USA,Apex Rendered,Sales,,John Smith,"CN=John Smith,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",John Smith,,jsmith@apexrendered.com,"CN=Tracy Torres,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,John Smith,,,jsmith,,,,Sales Director,
0,,,USA,Apex Rendered,Sales,,Pamela Perez,"CN=Pamela Perez,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Pamela Perez,,pperez@apexrendered.com,"CN=Greg Garcia,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,Pamela Perez,,,pperez,,,,Sales Rep,
0,,,USA,Apex Rendered,Sales,,Nikki Nelson,"CN=Nikki Nelson,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Nikki Nelson,,nnelson@apexrendered.com,"CN=Scott Scott,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,Nikki Nelson,,,nnelson,,,,Sales Rep,
0,,,USA,Apex Rendered,Sales,,Aaron Anderson,"CN=Aaron Anderson,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Aaron Anderson,,aanderson@apexrendered.com,"CN=Scott Scott,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,Aaron Anderson,,,aanderson,,,,Sales Rep,
0,,,USA,Apex Rendered,Sales,,Stephen Sanchez,"CN=Stephen Sanchez,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Stephen Sanchez,,ssanchez@apexrendered.com,"CN=Greg Garcia,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,Stephen Sanchez,,,ssanchez,,,,Sales Rep,
7,,,USA,Apex Rendered,Sales,,Greg Garcia,"CN=Greg Garcia,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Greg Garcia,,ggarcia@apexrendered.com,"CN=Amanda Allen,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,Greg Garcia,,,ggarcia,,,,Sales Rep,
0,,,USA,Apex Rendered,Sales,,Cristina Cook,"CN=Cristina Cook,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Cristina Cook,,ccook@apexrendered.com,"CN=Georgia Green,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,Cristina Cook,,,ccook,,,,Sales Rep,
0,,,USA,Apex Rendered,Sales,,Rodger Rodriguez,"CN=Rodger Rodriguez,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Rodger Rodriguez,,rrodriguez@apexrendered.com,"CN=Greg Garcia,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,Rodger Rodriguez,,,rrodriguez,,,,Sales Rep,
0,,,USA,Apex Rendered,Sales,,Rochelle Reed,"CN=Rochelle Reed,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Rochelle Reed,,rreed@apexrendered.com,"CN=Georgia Green,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,Rochelle Reed,,,rreed,,,,Sales Rep,
0,,,USA,Apex Rendered,Sales,,Mandy Morgan,"CN=Mandy Morgan,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Mandy Morgan,,mmorgan@apexrendered.com,"CN=Amanda Allen,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,Mandy Morgan,,,mmorgan,,,,Sales Rep,
12,,,USA,Apex Rendered,Sales,,Amanda Allen,"CN=Amanda Allen,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Amanda Allen,,aallen@apexrendered.com,"CN=Tracy Torres,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,Amanda Allen,,,aallen,,,,Sales Director,
0,,,USA,Apex Rendered,Sales,,Sally Stewart,"CN=Sally Stewart,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sally Stewart,,sstewart@apexrendered.com,"CN=Greg Garcia,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,Sally Stewart,,,sstewart,,,,Sales Rep,
0,,,USA,Apex Rendered,Sales,,Benny Bailey,"CN=Benny Bailey,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Benny Bailey,,bbailey@apexrendered.com,"CN=Greg Garcia,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,Benny Bailey,,,bbailey,,,,Sales Rep,
4,,,USA,Apex Rendered,Sales,,Jack Bauer,"CN=Jack Bauer,OU=Operations,OU=User Accounts,DC=apexrendered,DC=com",Steve Smith,,jbauer@apexrendered.com,"CN=Penny Peterson,OU=Operations,OU=User Accounts,DC=apexrendered,DC=com",Sales,Jack Bauer,,,jack.bauer,,,,Security Analyst,
0,,,USA,Apex Rendered,Sales,,David Veuve,"CN=David Veuve,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",David Veuve,,dveuve@apexrendered.com,"CN=John Smith,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,David Veuve,,,dveuve,,,,Sales Rep,
3,,,USA,Apex Rendered,Sales,,Georgia Green,"CN=Georgia Green,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Georgia Green,,ggreen@apexrendered.com,"CN=Tracy Torres,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,Georgia Green,,,ggreen,,,,Sales Director,
0,,,USA,Apex Rendered,Sales,,Roland Rivera,"CN=Roland Rivera,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Roland Rivera,,rrivera@apexrendered.com,"CN=Amanda Allen,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,Roland Rivera,,,rrivera,,,,Sales Rep,
0,,,USA,Apex Rendered,Sales,,Karen King,"CN=Karen King,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Karen King,,kking@apexrendered.com,"CN=Greg Garcia,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,Karen King,,,kking,,,,Sales Rep,
0,,,USA,Apex Rendered,Sales,,Bob Baker,"CN=Bob Baker,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Bob Baker,,bbaker@apexrendered.com,"CN=Amanda Allen,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,Bob Baker,,,bbaker,,,,Sales Rep,
0,,,USA,Apex Rendered,Sales,,Louis Lewis,"CN=Louis Lewis,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Louis Lewis,,llewis@apexrendered.com,"CN=Scott Scott,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,Louis Lewis,,,llewis,,,,Sales Rep,
0,,,USA,Apex Rendered,Sales,,Gloria Gonzalez,"CN=Gloria Gonzalez,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Gloria Gonzalez,,ggonzalez@apexrendered.com,"CN=Scott Scott,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,Gloria Gonzalez,,,ggonzalez,,,,Sales Rep,
0,,,USA,Apex Rendered,Sales,,Tammy Thompson,"CN=Tammy Thompson,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Tammy Thompson,,tthompson@apexrendered.com,"CN=Greg Garcia,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,Tammy Thompson,,,tthompson,,,,Sales Rep,
4,,,USA,Apex Rendered,Sales,,Scott Scott,"CN=Scott Scott,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Scott Scott,,sscott@apexrendered.com,"CN=Tracy Torres,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,Scott Scott,,,sscott,,,,Sales Director,
0,,,USA,Apex Rendered,Sales,,Tara Taylor,"CN=Tara Taylor,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Tara Taylor,,ttaylor@apexrendered.com,"CN=Amanda Allen,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Sales,Tara Taylor,,,ttaylor,,,,Sales Rep,
0,,,USA,Apex Rendered,Analytics,,Cathy Campbell,"CN=Cathy Campbell,OU=Analytics,OU=User Accounts,DC=apexrendered,DC=com",Cathy Campbell,,ccampbell@apexrendered.com,"CN=James Johnson,OU=Analytics,OU=User Accounts,DC=apexrendered,DC=com",Analytics,Cathy Campbell,,,ccampbell,,,,Senior Statistician,
1,,,USA,Apex Rendered,Analytics,,James Johnson,"CN=James Johnson,OU=Analytics,OU=User Accounts,DC=apexrendered,DC=com",James Johnson,,jjohnson@apexrendered.com,"CN=Cory Cooper,OU=Product,OU=User Accounts,DC=apexrendered,DC=com",Analytics,James Johnson,,,jjohnson,,,,Director of Analytics,
0,,,USA,Apex Rendered,Engineering,,Howard Hall,"CN=Howard Hall,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Howard Hall,,hhall@apexrendered.com,"CN=Carol Clark,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Engineering,Howard Hall,,,hhall,,,,Software Developer,
0,,,USA,Apex Rendered,Engineering,,Erica Edwards,"CN=Erica Edwards,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Erica Edwards,,eedwards@apexrendered.com,"CN=Carol Clark,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Engineering,Erica Edwards,,,eedwards,,,,Software Developer,
1,,,USA,Apex Rendered,Engineering,,Heidi Hill,"CN=Heidi Hill,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Heidi Hill,,hhill@apexrendered.com,"CN=Carol Clark,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Engineering,Heidi Hill,,,hhill,,,,Software Developer,
0,,,USA,Apex Rendered,Engineering,,Mike Martinez,"CN=Mike Martinez,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Mike Martinez,,mmartinez@apexrendered.com,"CN=Carol Clark,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Engineering,Mike Martinez,,,mmartinez,,,,Software Developer,
0,,,USA,Apex Rendered,Engineering,,Larry Lopez,"CN=Larry Lopez,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Larry Lopez,,llopez@apexrendered.com,"CN=Carol Clark,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Engineering,Larry Lopez,,,llopez,,,,Software Developer,
0,,,USA,Apex Rendered,Engineering,,Marion Martin,"CN=Marion Martin,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Marion Martin,,mmartin@apexrendered.com,"CN=Heidi Hill,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Engineering,Marion Martin,,,mmartin,,,,Software Developer,
0,,,USA,Apex Rendered,Engineering,,Tina Turner,"CN=Tina Turner,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Tina Turner,,tturner@apexrendered.com,"CN=Carol Clark,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Engineering,Tina Turner,,,tturner,,,,Software Developer,
0,,,USA,Apex Rendered,Engineering,,Jeff Jackson,"CN=Jeff Jackson,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Jeff Jackson,,jjackson@apexrendered.com,"CN=Yvonne Young,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Engineering,Jeff Jackson,,,jjackson,,,,Software Developer,
0,,,USA,Apex Rendered,Engineering,,Mary Mitchell,"CN=Mary Mitchell,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Mary Mitchell,,mmitchell@apexrendered.com,"CN=Carol Clark,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Engineering,Mary Mitchell,,,mmitchell,,,,Software Developer,
1,,,USA,Apex Rendered,Engineering,,Yvonne Young,"CN=Yvonne Young,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Yvonne Young,,yyoung@apexrendered.com,"CN=Carol Clark,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Engineering,Yvonne Young,,,yyoung,,,,Software Developer,
0,,,USA,Apex Rendered,Engineering,,Florence Flores,"CN=Florence Flores,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Florence Flores,,fflores@apexrendered.com,"CN=Carol Clark,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Engineering,Florence Flores,,,fflores,,,,Software Developer,
20,,,USA,Apex Rendered,Engineering,,Carol Clark,"CN=Carol Clark,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Carol Clark,,cclark@apexrendered.com,"CN=Hugh Hernandez,OU=Admin,OU=User Accounts,DC=apexrendered,DC=com",Engineering,Carol Clark,,,cclark,,,,VP Engineering,
2,,,USA,Apex Rendered,Operations,,Wanda Williams,"CN=Wanda Williams,OU=Operations,OU=User Accounts,DC=apexrendered,DC=com",Wanda Williams,,wwilliams@apexrendered.com,"CN=Pat Phillips,OU=Operations,OU=User Accounts,DC=apexrendered,DC=com",Operations,Wanda Williams,,,wwilliams,,,,Systems Administrator Lead,
3,,,USA,Apex Rendered,Operations,,Wade White,"CN=Wade White,OU=Operations,OU=User Accounts,DC=apexrendered,DC=com",Wade White,,wwhite@apexrendered.com,"CN=Pat Phillips,OU=Operations,OU=User Accounts,DC=apexrendered,DC=com",Operations,Wade White,,,wwhite,,,,Systems Administrator Lead,
0,,,USA,Apex Rendered,Operations,,Ruth Robinson,"CN=Ruth Robinson,OU=Operations,OU=User Accounts,DC=apexrendered,DC=com",Ruth Robinson,,rrobinson@apexrendered.com,"CN=Wade White,OU=Operations,OU=User Accounts,DC=apexrendered,DC=com",Operations,Ruth Robinson,,,rrobinson,,,,Systems Administrator,
0,,,USA,Apex Rendered,Operations,,Maria Moore,"CN=Maria Moore,OU=Operations,OU=User Accounts,DC=apexrendered,DC=com",Maria Moore,,mmoore@apexrendered.com,"CN=Wade White,OU=Operations,OU=User Accounts,DC=apexrendered,DC=com",Operations,Maria Moore,,,mmoore,,,,Systems Administrator,
0,,,USA,Apex Rendered,Operations,,Edgar Evans,"CN=Edgar Evans,OU=Operations,OU=User Accounts,DC=apexrendered,DC=com",Edgar Evans,,eevans@apexrendered.com,"CN=Wanda Williams,OU=Operations,OU=User Accounts,DC=apexrendered,DC=com",Operations,Edgar Evans,,,eevans,,,,Systems Administrator,
0,,,USA,Apex Rendered,Operations,,Ron Ramirez,"CN=Ron Ramirez,OU=Operations,OU=User Accounts,DC=apexrendered,DC=com",Ron Ramirez,,rramirez@apexrendered.com,"CN=Wade White,OU=Operations,OU=User Accounts,DC=apexrendered,DC=com",Operations,Ron Ramirez,,,rramirez,,,,Systems Administrator,
0,,,USA,Apex Rendered,Operations,,Perry Parker,"CN=Perry Parker,OU=Operations,OU=User Accounts,DC=apexrendered,DC=com",Perry Parker,,pparker@apexrendered.com,"CN=Wanda Williams,OU=Operations,OU=User Accounts,DC=apexrendered,DC=com",Operations,Perry Parker,,,pparker,,,,Systems Administrator,
0,,,USA,Apex Rendered,Black Label Ads,,Walter Walker,"CN=Walter Walker,OU=Sales Enablement,OU=User Accounts,DC=apexrendered,DC=com",Walter Walker,,wwalker@apexrendered.com,"CN=Hugh Hernandez,OU=Admin,OU=User Accounts,DC=apexrendered,DC=com",Admin,Walter Walker,,,wwalker,,,,VP Sales Enablement,
4,,,USA,Apex Rendered,Finance,,Sally Smith,"CN=Sally Smith,OU=Finance,OU=User Accounts,DC=apexrendered,DC=com",Sally Smith,,ssmith@apexrendered.com,"CN=Mary Margaret,OU=Admin,OU=User Accounts,DC=apexrendered,DC=com",Admin,Sally Smith,,,ssmith,,,,VP Finance,
1,,,USA,Apex Rendered,Human Resources,,Winnie Wilson,"CN=Winnie Wilson,OU=Human Resources,OU=User Accounts,DC=apexrendered,DC=com",Winnie Wilson,,wwilson@apexrendered.com,"CN=Hugh Hernandez,OU=Admin,OU=User Accounts,DC=apexrendered,DC=com",Human Resources,Winnie Wilson,,,wwilson,,,,VP HR,
2,,,USA,Apex Rendered,Marketing,,Willie Wright,"CN=Willie Wright,OU=Marketing,OU=User Accounts,DC=apexrendered,DC=com",Willie Wright,,wwright@apexrendered.com,"CN=Hugh Hernandez,OU=Admin,OU=User Accounts,DC=apexrendered,DC=com",Admin,Willie Wright,,,wwright,,,,VP Marketing,
7,,,USA,Apex Rendered,Operations,,Pat Phillips,"CN=Pat Phillips,OU=Operations,OU=User Accounts,DC=apexrendered,DC=com",Pat Phillips,,pphillips@apexrendered.com,"CN=Carol Clark,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Engineering,Pat Phillips,,,pphillips,,,,Director of System Operations,
0,,,USA,Apex Rendered,Operations,,Penny Peterson,"CN=Penny Peterson,OU=Operations,OU=User Accounts,DC=apexrendered,DC=com",Penny Peterson,,ppeterson@apexrendered.com,"CN=Carol Clark,OU=Engineering,OU=User Accounts,DC=apexrendered,DC=com",Engineering,Penny Peterson,,,ppeterson,,,,VP Operations,
5,,,USA,Apex Rendered,Operations,,Cory Cooper,"CN=Cory Cooper,OU=Product,OU=User Accounts,DC=apexrendered,DC=com",Cory Cooper,,ccooper@apexrendered.com,"CN=Hugh Hernandez,OU=Admin,OU=User Accounts,DC=apexrendered,DC=com",Product,Cory Cooper,,,ccooper,,,,VP Product,
30,,,USA,Apex Rendered,Sales,,Tracy Torres,"CN=Tracy Torres,OU=Sales,OU=User Accounts,DC=apexrendered,DC=com",Tracy Torres,,ttorres@apexrendered.com,"CN=Hugh Hernandez,OU=Admin,OU=User Accounts,DC=apexrendered,DC=com",Admin,Tracy Torres,,,ttorres,,,,VP Sales,
