origin_index,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,prep_Geography_0,prep_Geography_1,prep_Gender_0,prep_Gender_1,prep_Age,prep_Balance,prep_CreditScore,prep_EstimatedSalary,prep_HasCrCard,prep_IsActiveMember,prep_NumOfProducts,prep_Tenure,TCR-prob_0,TCR-prob_1,TCR-pred_Exited,Exited,result_key
18,3741,15777855,Manna,649,France,Male,45,7,0.0,2,0,1,75204.21,1,0,1,0,45.0,0.0,649.0,75204.21,0.0,1.0,2.0,7.0,0.9668968162719198,0.03310318372808014,0,0,20241203-161226
19,7401,15802071,Levi,762,Germany,Male,35,1,117458.51,1,0,1,178361.48,1,1,1,0,35.0,117458.51,762.0,178361.48,0.0,1.0,1.0,1.0,0.8595099685617671,0.14049003143823285,0,1,20241203-161226
20,5662,15613945,Andrews,472,France,Female,26,5,0.0,2,1,0,108411.66,1,0,0,1,26.0,0.0,472.0,108411.66,1.0,0.0,2.0,5.0,0.9745353770831092,0.025464622916890778,0,0,20241203-161226
21,6268,15689328,Harrison,705,Germany,Male,48,9,114169.16,1,0,0,173273.2,1,1,1,0,48.0,114169.16,705.0,173273.2,0.0,0.0,1.0,9.0,0.20778596361271828,0.7922140363872817,1,1,20241203-161226
22,2364,15644005,Holman,571,France,Female,33,9,0.0,2,0,1,77519.62,1,0,0,1,33.0,0.0,571.0,77519.62,0.0,1.0,2.0,9.0,0.9773182676763486,0.02268173232365149,0,0,20241203-161226
23,4407,15623450,Brown,637,Germany,Female,27,7,135842.89,1,1,1,101418.05,1,1,0,1,27.0,135842.89,637.0,101418.05,1.0,1.0,1.0,7.0,0.8540946434342833,0.14590535656571668,0,0,20241203-161226
24,4007,15656454,Le Gallienne,654,France,Male,37,6,83568.55,1,1,0,47046.72,1,0,1,0,37.0,83568.55,654.0,47046.72,1.0,0.0,1.0,6.0,0.8868875072305191,0.11311249276948085,0,0,20241203-161226
25,6721,15647207,Onwuemelie,609,France,Male,26,7,0.0,2,1,0,98463.99,1,0,1,0,26.0,0.0,609.0,98463.99,1.0,0.0,2.0,7.0,0.9844799516523484,0.015520048347651631,0,0,20241203-161226
26,2852,15776454,Hamilton,603,France,Female,48,5,0.0,1,1,0,100478.6,1,0,0,1,48.0,0.0,603.0,100478.6,1.0,0.0,1.0,5.0,0.206219432435245,0.793780567564755,1,1,20241203-161226
27,8366,15659949,Chiu,850,France,Male,31,1,96399.31,2,1,0,106534.15,1,0,1,0,31.0,96399.31,850.0,106534.15,1.0,0.0,2.0,1.0,0.979559940621737,0.020440059378263004,0,0,20241203-161226
28,5100,15731555,Ross-Watt,595,Germany,Female,45,9,106000.12,1,0,0,191448.96,1,1,0,1,45.0,106000.12,595.0,191448.96,0.0,0.0,1.0,9.0,0.18898605486344633,0.8110139451365537,1,1,20241203-161226
29,8253,15734737,Bruno,744,France,Male,56,9,0.0,2,1,1,169498.61,1,0,1,0,56.0,0.0,744.0,169498.61,1.0,1.0,2.0,9.0,0.9572433187552435,0.04275668124475656,0,0,20241203-161226
30,9212,15605531,Daly,457,Spain,Female,38,6,0.0,2,1,0,173219.09,0,1,0,1,38.0,0.0,457.0,173219.09,1.0,0.0,2.0,6.0,0.9441176321816205,0.05588236781837957,0,0,20241203-161226
31,127,15671137,MacDonald,549,France,Female,52,1,0.0,1,0,1,8636.05,1,0,0,1,52.0,0.0,549.0,8636.05,0.0,1.0,1.0,1.0,0.36117629990352174,0.6388237000964783,1,1,20241203-161226
32,9551,15721715,Fane,769,France,Female,40,9,133871.05,1,1,1,50568.02,1,0,0,1,40.0,133871.05,769.0,50568.02,1.0,1.0,1.0,9.0,0.8588697476409868,0.14113025235901322,0,0,20241203-161226
33,3312,15608226,McMorran,513,Spain,Male,72,3,98903.06,1,1,1,81251.24,0,1,1,0,72.0,98903.06,513.0,81251.24,1.0,1.0,1.0,3.0,0.9644207699843423,0.035579230015657624,0,0,20241203-161226
34,4616,15703117,Findlay,565,France,Female,44,1,0.0,2,0,1,89602.81,1,0,0,1,44.0,0.0,565.0,89602.81,0.0,1.0,2.0,1.0,0.9350140881309205,0.0649859118690795,0,0,20241203-161226
35,5428,15674149,Esomchi,599,Germany,Male,36,3,128960.21,2,1,1,40318.33,1,1,1,0,36.0,128960.21,599.0,40318.33,1.0,1.0,2.0,3.0,0.9317051326216412,0.06829486737835873,0,0,20241203-161226
36,7948,15785326,Randall,639,Spain,Female,35,5,136526.26,2,1,0,59653.03,0,1,0,1,35.0,136526.26,639.0,59653.03,1.0,0.0,2.0,5.0,0.9004084857891698,0.09959151421083028,0,0,20241203-161226
37,6562,15650538,Sun,445,Germany,Female,48,7,168286.58,1,1,0,16645.77,1,1,0,1,48.0,168286.58,445.0,16645.77,1.0,0.0,1.0,7.0,0.24546659465721787,0.7545334053427821,1,1,20241203-161226
38,6245,15725302,Streeton,670,Spain,Female,20,4,0.0,2,1,0,119759.24,0,1,0,1,20.0,0.0,670.0,119759.24,1.0,0.0,2.0,4.0,0.9755288878312259,0.02447111216877408,0,0,20241203-161226
39,985,15704770,Pan,773,France,Male,25,1,124532.78,2,0,1,11723.57,1,0,1,0,25.0,124532.78,773.0,11723.57,0.0,1.0,2.0,1.0,0.948200552626223,0.05179944737377691,0,0,20241203-161226
40,1690,15700854,Cunningham,595,Spain,Male,35,8,0.0,1,1,0,100015.79,0,1,1,0,35.0,0.0,595.0,100015.79,1.0,0.0,1.0,8.0,0.808340764986148,0.19165923501385201,0,1,20241203-161226
41,2008,15727384,Chukwuemeka,705,Germany,Female,43,10,146547.78,1,0,1,10072.55,1,1,0,1,43.0,146547.78,705.0,10072.55,0.0,1.0,1.0,10.0,0.7381660265180304,0.2618339734819696,0,1,20241203-161226
42,9985,15696175,Echezonachukwu,602,Germany,Male,35,7,90602.42,2,1,1,51695.41,1,1,1,0,35.0,90602.42,602.0,51695.41,1.0,1.0,2.0,7.0,0.9687031122614399,0.03129688773856007,0,0,20241203-161226
43,8577,15722599,Nelson,751,France,Female,37,9,183613.66,2,0,0,49734.94,1,0,0,1,37.0,183613.66,751.0,49734.94,0.0,0.0,2.0,9.0,0.8227212192211837,0.17727878077881631,0,0,20241203-161226
44,1719,15762745,Macvitie,648,Spain,Male,32,8,0.0,1,1,0,133653.38,0,1,1,0,32.0,0.0,648.0,133653.38,1.0,0.0,1.0,8.0,0.8401286783382623,0.15987132166173765,0,0,20241203-161226
45,6267,15590097,Ch'eng,537,Spain,Female,33,7,136082.0,1,1,0,62746.54,0,1,0,1,33.0,136082.0,537.0,62746.54,1.0,0.0,1.0,7.0,0.8501126197304858,0.14988738026951418,0,0,20241203-161226
46,5003,15737556,Vasilyev,590,France,Male,43,7,81076.8,2,1,1,182627.25,1,0,1,0,43.0,81076.8,590.0,182627.25,1.0,1.0,2.0,7.0,0.9267747093047976,0.07322529069520241,0,1,20241203-161226
47,3922,15743871,Nkemdirim,567,France,Male,59,3,0.0,2,1,0,25843.7,1,0,1,0,59.0,0.0,567.0,25843.7,1.0,0.0,2.0,3.0,0.5563811942374193,0.4436188057625808,0,1,20241203-161226
48,882,15571928,Fraser,679,France,Female,43,4,0.0,3,1,0,115136.51,1,0,0,1,43.0,0.0,679.0,115136.51,1.0,0.0,3.0,4.0,0.16306298548493114,0.8369370145150689,1,1,20241203-161226
49,2858,15769829,Cheng,534,Spain,Male,51,3,0.0,2,0,1,20856.31,0,1,1,0,51.0,0.0,534.0,20856.31,0.0,1.0,2.0,3.0,0.9179821774272718,0.08201782257272815,0,0,20241203-161226
50,334,15728669,Knowles,584,Germany,Female,30,8,112013.81,1,1,0,177772.03,1,1,0,1,30.0,112013.81,584.0,177772.03,1.0,0.0,1.0,8.0,0.7097328909059709,0.2902671090940291,0,1,20241203-161226
51,6891,15673877,Murray,490,France,Male,39,1,0.0,3,1,0,171060.01,1,0,1,0,39.0,0.0,490.0,171060.01,1.0,0.0,3.0,1.0,0.3058972951694253,0.6941027048305747,1,1,20241203-161226
52,8273,15705739,Toscani,753,Germany,Male,32,5,159904.79,1,1,0,148811.14,1,1,1,0,32.0,159904.79,753.0,148811.14,1.0,0.0,1.0,5.0,0.8425028481299642,0.1574971518700358,0,0,20241203-161226
53,6193,15731781,Onyemachukwu,551,France,Male,43,7,0.0,2,1,0,178393.68,1,0,1,0,43.0,0.0,551.0,178393.68,1.0,0.0,2.0,7.0,0.934463007433651,0.06553699256634901,0,0,20241203-161226
54,658,15698474,Sagese,601,Germany,Female,54,1,131039.97,2,1,1,199661.5,1,1,0,1,54.0,131039.97,601.0,199661.5,1.0,1.0,2.0,1.0,0.5691204689788134,0.43087953102118653,0,0,20241203-161226
55,6640,15583076,Deleon,588,Germany,Male,41,6,106116.56,2,1,0,198766.61,1,1,1,0,41.0,106116.56,588.0,198766.61,1.0,0.0,2.0,6.0,0.8491289161637177,0.1508710838362823,0,0,20241203-161226
56,9167,15612103,Wang,627,Germany,Female,35,2,137852.96,1,1,1,172269.21,1,1,0,1,35.0,137852.96,627.0,172269.21,1.0,1.0,1.0,2.0,0.7994184937413685,0.20058150625863147,0,1,20241203-161226
57,2281,15763747,Ricci,732,France,Male,36,7,0.0,2,1,1,60830.24,1,0,1,0,36.0,0.0,732.0,60830.24,1.0,1.0,2.0,7.0,0.9836208381300949,0.016379161869905068,0,0,20241203-161226
58,7450,15804235,Zetticci,698,France,Female,37,2,166178.02,2,1,1,71972.95,1,0,0,1,37.0,166178.02,698.0,71972.95,1.0,1.0,2.0,2.0,0.929403462082401,0.07059653791759903,0,0,20241203-161226
59,4107,15741092,Ingram,671,Spain,Male,34,10,153360.02,1,1,0,140509.86,0,1,1,0,34.0,153360.02,671.0,140509.86,1.0,0.0,1.0,10.0,0.932661575912862,0.06733842408713801,0,0,20241203-161226
60,482,15744398,Burns,525,France,Female,23,5,0.0,2,1,0,160249.1,1,0,0,1,23.0,0.0,525.0,160249.1,1.0,0.0,2.0,5.0,0.965717240915265,0.03428275908473503,0,0,20241203-161226
61,9651,15646168,Ifeatu,834,Spain,Male,33,5,0.0,2,1,0,66285.18,0,1,1,0,33.0,0.0,834.0,66285.18,1.0,0.0,2.0,5.0,0.9759421834589607,0.02405781654103931,0,0,20241203-161226
62,4118,15663964,Pagnotto,561,France,Male,37,5,0.0,2,1,0,83093.25,1,0,1,0,37.0,0.0,561.0,83093.25,1.0,0.0,2.0,5.0,0.9750066935961269,0.02499330640387308,0,0,20241203-161226
63,3801,15685314,Noble,850,France,Female,28,2,0.0,2,1,1,38773.74,1,0,0,1,28.0,0.0,850.0,38773.74,1.0,1.0,2.0,2.0,0.9818989452759171,0.018101054724082813,0,0,20241203-161226
64,9701,15797149,Lloyd,563,Spain,Female,36,4,143680.47,2,1,1,63531.19,0,1,0,1,36.0,143680.47,563.0,63531.19,1.0,1.0,2.0,4.0,0.9304477064749095,0.06955229352509049,0,0,20241203-161226
65,8185,15605916,Uvarova,659,France,Female,50,3,0.0,1,1,0,183399.12,1,0,0,1,50.0,0.0,659.0,183399.12,1.0,0.0,1.0,3.0,0.14105033696859615,0.8589496630314039,1,1,20241203-161226
66,9855,15752650,Saad,681,Spain,Female,37,6,121231.39,1,1,1,146366.08,0,1,0,1,37.0,121231.39,681.0,146366.08,1.0,1.0,1.0,6.0,0.9175942186018569,0.08240578139814309,0,0,20241203-161226
67,5276,15579616,Goodwin,683,France,Female,42,8,0.0,2,0,1,198134.9,1,0,0,1,42.0,0.0,683.0,198134.9,0.0,1.0,2.0,8.0,0.9529346902726765,0.0470653097273235,0,0,20241203-161226
68,3182,15663249,Howells,575,Spain,Female,37,9,133292.45,1,1,0,111175.09,0,1,0,1,37.0,133292.45,575.0,111175.09,1.0,0.0,1.0,9.0,0.8316859300578553,0.16831406994214473,0,0,20241203-161226
69,856,15686436,Newbery,523,Spain,Male,32,4,0.0,2,1,0,167848.02,0,1,1,0,32.0,0.0,523.0,167848.02,1.0,0.0,2.0,4.0,0.9761564238186259,0.023843576181374074,0,0,20241203-161226
70,2135,15610355,Hunter,713,France,Male,44,1,63438.91,1,1,0,64375.4,1,0,1,0,44.0,63438.91,713.0,64375.4,1.0,0.0,1.0,1.0,0.5574654085400725,0.4425345914599274,0,0,20241203-161226
71,6588,15705313,Stange,707,France,Female,33,2,58036.33,1,1,1,83335.78,1,0,0,1,33.0,58036.33,707.0,83335.78,1.0,1.0,1.0,2.0,0.9239430933614505,0.07605690663854948,0,0,20241203-161226
72,7051,15720529,Schiavone,591,France,Male,29,6,0.0,2,1,1,108684.65,1,0,1,0,29.0,0.0,591.0,108684.65,1.0,1.0,2.0,6.0,0.9894314515673021,0.010568548432697911,0,0,20241203-161226
73,4293,15800287,Micco,706,Spain,Female,46,2,127660.46,2,1,0,150156.82,0,1,0,1,46.0,127660.46,706.0,150156.82,1.0,0.0,2.0,2.0,0.644235401468236,0.355764598531764,0,1,20241203-161226
74,3142,15769596,Yen,710,Germany,Female,24,2,110407.44,2,0,0,15832.43,1,1,0,1,24.0,110407.44,710.0,15832.43,0.0,0.0,2.0,2.0,0.9136478669081542,0.08635213309184571,0,1,20241203-161226
75,9192,15764708,Chiabuotu,572,France,Male,30,6,117696.67,1,1,0,100843.82,1,0,1,0,30.0,117696.67,572.0,100843.82,1.0,0.0,1.0,6.0,0.9303833999341179,0.06961660006588206,0,0,20241203-161226
76,5556,15572398,Townsend,614,Spain,Female,39,6,0.0,2,1,1,164018.98,0,1,0,1,39.0,0.0,614.0,164018.98,1.0,1.0,2.0,6.0,0.9661680942094121,0.03383190579058788,0,0,20241203-161226
77,8670,15799641,Bruno,540,Spain,Male,39,2,0.0,2,1,0,81995.92,0,1,1,0,39.0,0.0,540.0,81995.92,1.0,0.0,2.0,2.0,0.9665283253703247,0.03347167462967532,0,0,20241203-161226
78,4959,15594502,Zotov,655,France,Male,37,6,109093.41,2,1,0,1775.52,1,0,1,0,37.0,109093.41,655.0,1775.52,1.0,0.0,2.0,6.0,0.9414659846945461,0.05853401530545386,0,0,20241203-161226
79,4631,15684958,Amadi,489,Germany,Male,38,2,126444.08,2,1,1,82662.73,1,1,1,0,38.0,126444.08,489.0,82662.73,1.0,1.0,2.0,2.0,0.9165025457958162,0.08349745420418375,0,0,20241203-161226
80,5087,15667289,Henderson,719,Spain,Male,50,2,0.0,2,0,0,10772.13,0,1,1,0,50.0,0.0,719.0,10772.13,0.0,0.0,2.0,2.0,0.9123924233557841,0.08760757664421588,0,0,20241203-161226
81,3877,15805151,Ginikanwa,565,Germany,Male,31,2,89558.39,2,1,1,4441.54,1,1,1,0,31.0,89558.39,565.0,4441.54,1.0,1.0,2.0,2.0,0.9808220702189757,0.019177929781024255,0,0,20241203-161226
82,5760,15674620,Dilibe,679,Germany,Female,37,8,77373.87,2,0,1,174873.09,1,1,0,1,37.0,77373.87,679.0,174873.09,0.0,1.0,2.0,8.0,0.9503801100731977,0.04961988992680228,0,0,20241203-161226
83,1736,15727251,Vincent,642,France,Male,30,8,117494.27,1,0,0,61977.82,1,0,1,0,30.0,117494.27,642.0,61977.82,0.0,0.0,1.0,8.0,0.9140359668488682,0.08596403315113174,0,0,20241203-161226
84,3519,15600688,Liston,600,France,Female,39,5,0.0,2,0,0,118272.07,1,0,0,1,39.0,0.0,600.0,118272.07,0.0,0.0,2.0,5.0,0.9524768590048238,0.04752314099517614,0,0,20241203-161226
85,59,15623944,T'ien,511,Spain,Female,66,4,0.0,1,1,0,1643.11,0,1,0,1,66.0,0.0,511.0,1643.11,1.0,0.0,1.0,4.0,0.1261523095194732,0.8738476904805268,1,1,20241203-161226
86,1035,15689176,Fabro,663,France,Male,46,3,0.0,2,0,1,176276.1,1,0,1,0,46.0,0.0,663.0,176276.1,0.0,1.0,2.0,3.0,0.957260782048518,0.04273921795148196,0,0,20241203-161226
87,8428,15806771,Yefremova,753,France,Female,40,0,3768.69,2,1,0,177065.24,1,0,0,1,40.0,3768.69,753.0,177065.24,1.0,0.0,2.0,0.0,0.9507796920266522,0.04922030797334773,0,1,20241203-161226
88,80,15803136,Postle,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,1,1,0,1,41.0,122189.66,416.0,98301.61,1.0,0.0,2.0,10.0,0.7413422668513936,0.25865773314860646,0,0,20241203-161226
89,3772,15643361,Cullen,477,Germany,Male,34,8,139959.55,2,1,1,189875.83,1,1,1,0,34.0,139959.55,477.0,189875.83,1.0,1.0,2.0,8.0,0.9533996011914503,0.04660039880854972,0,0,20241203-161226
90,4221,15711314,Kao,589,Spain,Female,45,1,0.0,1,0,0,125939.22,0,1,0,1,45.0,0.0,589.0,125939.22,0.0,0.0,1.0,1.0,0.28958269413524695,0.710417305864753,1,1,20241203-161226
91,185,15719377,Cocci,804,France,Female,50,4,0.0,1,1,1,8546.87,1,0,0,1,50.0,0.0,804.0,8546.87,1.0,1.0,1.0,4.0,0.31569093016542893,0.6843090698345711,1,1,20241203-161226
92,4576,15756926,Atherton,833,Germany,Male,29,1,96462.25,2,0,1,48986.18,1,1,1,0,29.0,96462.25,833.0,48986.18,0.0,1.0,2.0,1.0,0.972054984954601,0.027945015045399063,0,0,20241203-161226
93,5297,15702462,Fiorentini,619,Spain,Female,44,6,52831.13,1,1,1,112649.22,0,1,0,1,44.0,52831.13,619.0,112649.22,1.0,1.0,1.0,6.0,0.6465561794006431,0.3534438205993568,0,1,20241203-161226
94,8624,15666197,Boni,430,Germany,Female,38,8,153058.64,1,1,0,99377.27,1,1,0,1,38.0,153058.64,430.0,99377.27,1.0,0.0,1.0,8.0,0.697272931603256,0.302727068396744,0,0,20241203-161226
95,5326,15599126,Russell,529,France,Female,43,0,123815.86,1,1,1,78463.99,1,0,0,1,43.0,123815.86,529.0,78463.99,1.0,1.0,1.0,0.0,0.5995145470171028,0.4004854529828971,0,1,20241203-161226
96,743,15696231,Chiwetelu,635,France,Male,29,7,105405.97,1,1,1,149853.89,1,0,1,0,29.0,105405.97,635.0,149853.89,1.0,1.0,1.0,7.0,0.9647846959617529,0.03521530403824709,0,0,20241203-161226
97,6021,15781234,Y?an,609,France,Female,35,2,147900.43,1,1,0,140000.29,1,0,0,1,35.0,147900.43,609.0,140000.29,1.0,0.0,1.0,2.0,0.8670220570825873,0.13297794291741266,0,0,20241203-161226
98,7696,15629985,Eidson,723,Germany,Female,47,10,90450.0,2,0,0,103379.31,1,1,0,1,47.0,90450.0,723.0,103379.31,0.0,0.0,2.0,10.0,0.7028384601830675,0.29716153981693244,0,1,20241203-161226
99,4782,15804131,Farmer,850,Spain,Female,53,7,65407.16,2,0,0,182633.63,0,1,0,1,53.0,65407.16,850.0,182633.63,0.0,0.0,2.0,7.0,0.41802762724365894,0.5819723727563411,1,1,20241203-161226
100,8848,15630244,Chu,457,France,Male,40,10,134320.23,2,1,0,150757.35,1,0,1,0,40.0,134320.23,457.0,150757.35,1.0,0.0,2.0,10.0,0.91258098353928,0.08741901646071999,0,0,20241203-161226
101,7166,15709252,Fuller,616,Germany,Female,28,10,105173.99,1,0,1,29835.37,1,1,0,1,28.0,105173.99,616.0,29835.37,0.0,1.0,1.0,10.0,0.8717006856327197,0.1282993143672803,0,1,20241203-161226
102,9386,15759244,Boone,687,Germany,Male,44,8,95368.14,2,1,1,1787.85,1,1,1,0,44.0,95368.14,687.0,1787.85,1.0,1.0,2.0,8.0,0.912058674427531,0.08794132557246899,0,0,20241203-161226
103,1517,15701333,Blackburn,646,France,Female,37,7,96558.66,1,0,0,163427.18,1,0,0,1,37.0,96558.66,646.0,163427.18,0.0,0.0,1.0,7.0,0.8385634042289978,0.16143659577100225,0,0,20241203-161226
104,1739,15596414,Chandler,796,Spain,Male,41,8,107525.07,1,1,0,18510.41,0,1,1,0,41.0,107525.07,796.0,18510.41,1.0,0.0,1.0,8.0,0.7611983630778316,0.2388016369221684,0,0,20241203-161226
105,1318,15720702,Shih,789,France,Male,37,3,0.0,1,1,0,121883.87,1,0,1,0,37.0,0.0,789.0,121883.87,1.0,0.0,1.0,3.0,0.8244043019127464,0.1755956980872536,0,1,20241203-161226
106,3555,15662865,Storey,658,Spain,Male,36,1,0.0,2,0,1,84927.42,0,1,1,0,36.0,0.0,658.0,84927.42,0.0,1.0,2.0,1.0,0.9807098767369501,0.019290123263049883,0,0,20241203-161226
107,4467,15595160,Renwick,413,Spain,Male,35,2,0.0,2,1,1,60972.84,0,1,1,0,35.0,0.0,413.0,60972.84,1.0,1.0,2.0,2.0,0.9505608066526208,0.04943919334737918,0,0,20241203-161226
108,4422,15698758,Onwuamaegbu,630,Spain,Female,31,1,0.0,2,1,1,169802.73,0,1,0,1,31.0,0.0,630.0,169802.73,1.0,1.0,2.0,1.0,0.9740117070515499,0.025988292948450047,0,0,20241203-161226
109,6844,15611171,Fowler,740,France,Male,33,1,129574.98,1,1,1,123300.38,1,0,1,0,33.0,129574.98,740.0,123300.38,1.0,1.0,1.0,1.0,0.9659646403921691,0.034035359607830926,0,0,20241203-161226
110,3351,15685628,Calabresi,670,Spain,Male,35,2,124268.64,2,0,1,84321.03,0,1,1,0,35.0,124268.64,670.0,84321.03,0.0,1.0,2.0,2.0,0.9567310320831344,0.04326896791686564,0,0,20241203-161226
111,8003,15753895,Blue,590,Spain,Male,37,1,0.0,2,0,0,133535.99,0,1,1,0,37.0,0.0,590.0,133535.99,0.0,0.0,2.0,1.0,0.971991549460559,0.02800845053944099,0,0,20241203-161226
112,5098,15568238,Diaz,650,Spain,Male,20,8,0.0,2,1,1,113469.65,0,1,1,0,20.0,0.0,650.0,113469.65,1.0,1.0,2.0,8.0,0.9874524183714941,0.012547581628505933,0,0,20241203-161226
113,4641,15696373,Gill,687,France,Female,44,9,0.0,2,0,0,103042.2,1,0,0,1,44.0,0.0,687.0,103042.2,0.0,0.0,2.0,9.0,0.9031992588783784,0.09680074112162161,0,1,20241203-161226
114,9186,15715078,Nkemakolam,584,France,Male,35,6,161613.94,2,1,1,148238.16,1,0,1,0,35.0,161613.94,584.0,148238.16,1.0,1.0,2.0,6.0,0.9689763409264794,0.031023659073520574,0,0,20241203-161226
115,9285,15705544,Ma,633,France,Male,61,3,157201.48,1,0,1,50368.63,1,0,1,0,61.0,157201.48,633.0,50368.63,0.0,1.0,1.0,3.0,0.8116639802708573,0.1883360197291427,0,0,20241203-161226
116,7151,15691150,Ku,699,France,Female,32,4,110559.46,1,1,1,127429.56,1,0,0,1,32.0,110559.46,699.0,127429.56,1.0,1.0,1.0,4.0,0.9494239940345747,0.05057600596542529,0,0,20241203-161226
117,6651,15655252,Larionova,758,Germany,Male,41,10,79857.64,1,1,1,78088.17,1,1,1,0,41.0,79857.64,758.0,78088.17,1.0,1.0,1.0,10.0,0.8841621103971545,0.11583788960284543,0,0,20241203-161226
118,5602,15684211,Creel,704,Spain,Female,44,9,153656.85,1,1,0,158742.81,0,1,0,1,44.0,153656.85,704.0,158742.81,1.0,0.0,1.0,9.0,0.5913072866751174,0.40869271332488255,0,0,20241203-161226
119,6125,15643359,Carter,736,Spain,Male,32,7,0.0,1,0,1,79082.62,0,1,1,0,32.0,0.0,736.0,79082.62,0.0,1.0,1.0,7.0,0.8859378882357473,0.11406211176425272,0,0,20241203-161226
