AircraftCondition,AssetNum,BilledOn,BoomOpA.FirstName,BoomOpA.LastName,BoomOpAEmployeeNum,BoomOpB.FirstName,BoomOpB.LastName,BoomOpBEmployeeNum,ClientRecordID,ClientType,Company,CompletedOn,CustomerCode,DeviceID,Driver.FirstName,Driver.LastName,DriverEmployeeNum,EditedByEmployeeNum,Flagged,FleetType,FlightNum,GHRGallons,GearOnly,GeoPosition.Lat,GeoPosition.Lon,IceTransactionGUID,IceTransactionGroupID,IceTransactionID,InspectionOnly,LastPostFailMessage,LastPostFailureOn,LicenseKey,Notes,Pad,PostFailCount,PostedOn,PostedToHost,PostedVia,PrecipCode,Slot,SourceAddress,StationID,SupercededByID,TactileCheck,TailNum,TeamLeadEmployeeNum,TrainingMode,Type1FreezePoint,Type1GallonsA,Type1GallonsB,Type1GallonsEnteredManually,Type1KFactor,Type1Percent,Type1Position1,Type1Position2,Type1Position3,Type1Position4,Type1PulseCount,Type1Start,Type1Stop,Type1Temp,Type4GallonsA,Type4GallonsB,Type4GallonsEnteredManually,Type4KFactor,Type4Position1,Type4Position2,Type4Position3,Type4Position4,Type4PulseCount,Type4Start,Type4Stop,WeatherCode,eventtype,host,index,linecount,punct,source,sourcetype,splunk_server,splunk_server_group,timestamp,_bkt,_cd,_eventtype_color,_indextime,_si,_sourcetype,_time
Frost,3,0,Stephens,Pollard,1717,Lily,Anthony,6756,6405,Deicer,AviataSystems,1.58317E+12,American Airlines,5e5fedb6eb54f1339f5ba6c8,Earline,Randolph,1954,4728,TRUE,A320,,80,TRUE,35.21387,-80.943012,7288d933-1951-4946-8807-11d4eb3e9715,331,5e5fedb6f53afac2606ca834,FALSE,,0,015a0053-9bdb-4791-8b05-ebf7eabfe199,,0,0,1.58022E+12,kclt.aviatasystems,Network,,0,70.147.152.220,KCLT,0,FALSE,N123UW,606,TRUE,3,59,2,TRUE,0.115385,39,FALSE,TRUE,FALSE,FALSE,56,1.58087E+12,1.58098E+12,180,71,270,TRUE,0.0173913,TRUE,TRUE,TRUE,FALSE,545,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,2.277777778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
Frost,4,0,Pauline,Brewer,3784,Reilly,Hines,8467,7678,Deicer,AviataSystems,1.58293E+12,American Airlines,5e5fedb6ea8945938919f7de,Russell,Henry,2041,7771,TRUE,A321,,274,FALSE,35.21381,-80.943044,50acf300-8996-49d5-baf9-14de0b6e90c9,12,5e5fedb633db6370271b4905,TRUE,,0,29f46edc-83b6-4ffe-8d97-2caff6289fc7,,1,0,1.57866E+12,kclt.aviatasystems,Network,,1,70.147.152.220,KCLT,0,FALSE,N443UW,4151,FALSE,3,108,31,FALSE,0.115385,39,TRUE,FALSE,TRUE,FALSE,482,1.57986E+12,1.57787E+12,180,4,56,FALSE,0.0173913,FALSE,TRUE,TRUE,FALSE,45,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,2.221527778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
Frost,25,0,Christensen,Emerson,7309,Bishop,Hamilton,2053,8330,Deicer,AviataSystems,1.58284E+12,American Airlines,5e5fedb64b663eb79977a7d1,Cherie,Carter,8377,915,FALSE,A321,,121,FALSE,35.21383,-80.943025,5e6ba542-ba7e-4b6c-a2fb-a320d1ed1dbd,665,5e5fedb6540610153fec7e76,FALSE,,0,787ae1f0-15f7-46d0-98f6-5d6982e5fda5,,3,0,1.58103E+12,kclt.aviatasystems,Network,,1,70.147.152.220,KCLT,0,FALSE,N443UW,6891,FALSE,3,265,13,FALSE,0.115385,39,FALSE,FALSE,FALSE,FALSE,343,1.58325E+12,1.58236E+12,180,78,110,FALSE,0.0173913,TRUE,FALSE,TRUE,TRUE,634,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,2.165277778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
Frost,19,0,Guthrie,Guerrero,8162,Nettie,Bird,8147,7809,Deicer,AviataSystems,1.57982E+12,United Airlines,5e5fedb6c11f47d321cf6005,Marci,Mccullough,6868,6617,FALSE,A320,,154,TRUE,35.21388,-80.943045,513c707b-8794-4755-b9d7-63020c317f3d,188,5e5fedb63c65d39de06981a3,FALSE,,0,70d574d3-a59a-470c-9cb1-e8d17423c1e1,,0,0,1.58014E+12,kclt.aviatasystems,Network,,1,70.147.152.220,KCLT,0,FALSE,N123UW,2897,FALSE,3,235,192,FALSE,0.115385,39,TRUE,TRUE,TRUE,FALSE,979,1.5833E+12,1.58105E+12,180,214,112,TRUE,0.0173913,TRUE,TRUE,FALSE,TRUE,610,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,2.109027778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
Frost,27,0,Chapman,Cunningham,715,Bauer,Tanner,4994,5402,Deicer,AviataSystems,1.58278E+12,United Airlines,5e5fedb62e7105d4e34f9d10,Fowler,Pennington,5792,2771,TRUE,A319,,26,FALSE,35.21387,-80.943054,07e8e192-6790-4faf-93f0-8fddf78631bd,425,5e5fedb6b1aa4fb9ac10ff96,FALSE,,0,e25655f3-0b08-4348-b374-5a6181e4062f,,3,0,1.58117E+12,kclt.aviatasystems,Network,,0,70.147.152.220,KCLT,0,TRUE,N747UW,1634,TRUE,3,290,191,FALSE,0.115385,39,FALSE,TRUE,FALSE,FALSE,142,1.58161E+12,1.58066E+12,180,173,282,TRUE,0.0173913,TRUE,FALSE,FALSE,TRUE,306,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,2.052777778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
Frost,3,0,Florine,Mathis,5881,Potts,Gibbs,9638,9104,Deicer,AviataSystems,1.5797E+12,American Airlines,5e5fedb6cc1ef56dbe91c574,Shanna,Riddle,322,2814,TRUE,A320,,154,FALSE,35.21386,-80.943022,843f3c6b-2c59-4e4f-8552-46f6cf9e4b5f,702,5e5fedb666039d501bc3c804,FALSE,,0,e48ba54b-b508-4378-8e7e-1c429a62b244,,1,0,1.58232E+12,kclt.aviatasystems,Network,,3,70.147.152.220,KCLT,0,TRUE,N123UW,2782,FALSE,3,291,236,FALSE,0.115385,39,FALSE,TRUE,FALSE,TRUE,253,1.58212E+12,1.57884E+12,180,190,210,FALSE,0.0173913,FALSE,TRUE,FALSE,TRUE,753,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,1.996527778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
Frost,24,0,Patton,Workman,314,Tonia,Rojas,8794,6701,Deicer,AviataSystems,1.57815E+12,American Airlines,5e5fedb6e6683c1ac540bf58,Thomas,French,1009,3123,FALSE,A320,,276,TRUE,35.21381,-80.943046,18a54735-abe3-4522-ad77-a12dfe063153,327,5e5fedb64df23e73750688e7,TRUE,,0,52a5c44e-0440-415c-ac91-6378b64c288c,,3,0,1.57891E+12,kclt.aviatasystems,Network,,2,70.147.152.220,KCLT,0,TRUE,N123UW,2126,TRUE,3,112,6,FALSE,0.115385,39,TRUE,TRUE,TRUE,TRUE,648,1.5825E+12,1.58229E+12,180,76,277,TRUE,0.0173913,FALSE,FALSE,FALSE,TRUE,377,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,1.940277778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
Frost,13,0,Reeves,Hunt,5411,Elvia,Ewing,3640,8925,Deicer,AviataSystems,1.57905E+12,American Airlines,5e5fedb6e20080bd91ced79d,Owen,Wynn,5303,4000,TRUE,A319,,209,FALSE,35.21383,-80.943018,d0581190-e846-4772-8b0f-116d272c95d1,959,5e5fedb625041c42f68c2545,TRUE,,0,61c550d5-6fd7-491f-a506-67d8b8384594,,2,0,1.57998E+12,kclt.aviatasystems,Network,,4,70.147.152.220,KCLT,0,TRUE,N747UW,6178,TRUE,3,160,270,TRUE,0.115385,39,FALSE,FALSE,TRUE,FALSE,333,1.58069E+12,1.57789E+12,180,195,76,FALSE,0.0173913,FALSE,FALSE,TRUE,FALSE,840,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,1.884027778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
Frost,15,0,Workman,Vang,1165,Christa,Harvey,9762,5418,Deicer,AviataSystems,1.58002E+12,American Airlines,5e5fedb6d652a8d08c318b31,Ericka,Lawson,1605,318,TRUE,A320,,98,TRUE,35.21385,-80.943042,7d7d6cbd-4421-474b-8b78-036ff1a8273b,64,5e5fedb6af6f8838842bd83c,TRUE,,0,67f057ae-9ae2-471e-9c76-a62fc71d531d,,1,0,1.57845E+12,kclt.aviatasystems,Network,,1,70.147.152.220,KCLT,0,TRUE,N123UW,7411,TRUE,3,48,84,FALSE,0.115385,39,FALSE,TRUE,FALSE,TRUE,724,1.58219E+12,1.57949E+12,180,79,187,TRUE,0.0173913,TRUE,TRUE,FALSE,TRUE,637,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,1.827777778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
Frost,14,0,Pennington,Reid,7214,Margret,Velazquez,1560,7154,Deicer,AviataSystems,1.5826E+12,Delta Airlines,5e5fedb657dd88597e2cf8a4,Craig,Deleon,3346,7152,TRUE,A321,,213,FALSE,35.21383,-80.943012,4e77a185-b2cb-4dfd-a41d-3a03af346978,89,5e5fedb6eda1ec9364fb2055,TRUE,,0,edd303b3-a2b6-4aa0-a246-2de73fa61b54,,2,0,1.58086E+12,kclt.aviatasystems,Network,,2,70.147.152.220,KCLT,0,TRUE,N443UW,7049,TRUE,3,11,188,FALSE,0.115385,39,FALSE,FALSE,TRUE,TRUE,293,1.579E+12,1.5807E+12,180,234,13,TRUE,0.0173913,TRUE,FALSE,TRUE,FALSE,581,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,1.771527778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
Frost,0,0,Chris,Robinson,5341,Holmes,Gonzalez,5692,1298,Deicer,AviataSystems,1.57943E+12,United Airlines,5e5fedb627be856fd24c4a30,Peck,Chen,7365,1494,FALSE,A319,,143,FALSE,35.21388,-80.943051,0cea9b93-22cb-4c1d-a4f8-912250c47108,149,5e5fedb6eecec1190e867df6,TRUE,,0,060adbc1-423a-4c55-b894-397daba0c778,,0,0,1.58165E+12,kclt.aviatasystems,Network,,0,70.147.152.220,KCLT,0,FALSE,N747UW,256,TRUE,3,121,8,TRUE,0.115385,39,TRUE,FALSE,TRUE,FALSE,376,1.57937E+12,1.57948E+12,180,38,28,FALSE,0.0173913,TRUE,TRUE,TRUE,TRUE,160,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,1.715277778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
Frost,13,0,Lee,Parsons,1859,Zelma,Scott,987,4668,Deicer,AviataSystems,1.58145E+12,Delta Airlines,5e5fedb600180d2c5137e772,Herman,Atkins,4433,1727,FALSE,A319,,53,FALSE,35.21388,-80.943042,5ecbea8f-d847-4a17-93d0-66830113f82d,746,5e5fedb600118ce791d78723,FALSE,,0,000ec398-3af3-4990-bc26-1aea11989147,,0,0,1.57797E+12,kclt.aviatasystems,Network,,0,70.147.152.220,KCLT,0,FALSE,N747UW,1022,FALSE,3,293,93,FALSE,0.115385,39,TRUE,TRUE,FALSE,TRUE,636,1.57924E+12,1.58308E+12,180,13,266,FALSE,0.0173913,TRUE,TRUE,FALSE,FALSE,264,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,1.659027778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
Frost,0,0,Michelle,Daniel,66,Waller,Gross,9581,7608,Deicer,AviataSystems,1.58013E+12,American Airlines,5e5fedb6410bbe39ec5b6f7f,Gay,Larsen,6861,7800,FALSE,A321,,219,TRUE,35.21384,-80.943033,b7d8e5d4-22ec-4e05-b05e-ad3e10e35c90,418,5e5fedb6de939ac8415fadb3,TRUE,,0,5d2b5871-6242-49fd-9645-fe6baabf813c,,0,0,1.57955E+12,kclt.aviatasystems,Network,,4,70.147.152.220,KCLT,0,TRUE,N443UW,2834,TRUE,3,85,148,TRUE,0.115385,39,FALSE,FALSE,TRUE,TRUE,774,1.5822E+12,1.57892E+12,180,11,182,FALSE,0.0173913,TRUE,TRUE,FALSE,FALSE,918,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,1.602777778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
Frost,28,0,Bean,Holden,1521,Atkins,Paul,8898,5412,Deicer,AviataSystems,1.58094E+12,United Airlines,5e5fedb6c8bd2c9cd6c7c71f,Carmela,Holloway,3375,8991,FALSE,A319,,272,TRUE,35.21383,-80.943013,354f06cf-eda1-428b-83dc-061a6b372b79,618,5e5fedb66a93d929dfd1639f,FALSE,,0,0e80f82f-ad85-4197-aaef-0dfae5c012ac,,2,0,1.57959E+12,kclt.aviatasystems,Network,,1,70.147.152.220,KCLT,0,TRUE,N747UW,1100,TRUE,3,18,195,TRUE,0.115385,39,FALSE,FALSE,FALSE,TRUE,198,1.5805E+12,1.58305E+12,180,69,232,FALSE,0.0173913,FALSE,FALSE,FALSE,TRUE,535,,,,,MacBook-Pro-3.local,ice,84,"{____"""":_"""",____"""":_,____"""":_,____"""":_""----"",____""",/Applications/Splunk/bin/ice4.json,_json,MacBook-Pro-3.local,,none,ice~0~EE4088EA-E3CB-4036-9A61-7600D3D6AB94,1.546527778,,1708093879,"MacBook-Pro-3.local
ice",_json,1583345092
