accountNumber,lastName,firstName,Age,Gender,customerMDN,Address,customerCity,customerState,customerZip,customerPlan,customerPlanDesc,customer,JSESSIONID
900000023,NIEVES,VERONICA,34,F,9745327085,10196 Burnquist St.,LOUISVILLE,KY,40231,900POST60,900 Minute,SD3SL1FF700024,
900000024,FISHER,MORRIS,25,M,7754793164,14943 South Central Ln.,BOZEMAN,MT,59717,700POST5L70,700 Minute Family,SD3SL1FF700025,
900000025,MORIN,RODRIGO,44,M,5216723923,11189 Wasno St.,CHICAGO,IL,60664,250PRE25,250 Minute Prepaid,SD3SL1FF700026,
900000026,LANE,ROSETTA,51,F,5505804207,2107 Mellwood Ln.,RALEIGH,NC,27697,450POST40,450 Minute,SD3SL1FF700027,
900000027,CHANDLER,RACHELLE,34,F,6383749219,637 Romley Way,SAINT LOUIS,MO,63119,450POST40,450 Minute,SD3SL1FF700028,
900000028,WALSH,HARRIET,37,F,3504347804,9011 Gerino St.,EL PASO,TX,88573,ULPRE2D,Unlimited Prepaid,SD3SL1FF700029,
900000029,LUCAS,ADA,22,F,5586373201,3898 W Mulloy St.,READING,PA,19605,2100POST5L110,2100 Minute Family,SD3SL1FF700030,
900000030,PEREZ,MOSES,53,M,5069208008,9138 Sunnylea Dr.,STOCKTON,CA,95201,2100POST5L110,2100 Minute Family,SD3SL1FF700031,
900000031,BOYD,TERRELL,58,M,7595123255,13906 Wheel House Dr.,WASHINGTON,DC,20207,ULPRE50,Unlimited Prepaid,SD3SL1FF700032,
900000032,BOYLE,FREDRIC,31,M,5970228621,12010 Heathview St.,BROOKLYN,NY,11232,450POST40,450 Minute,SD3SL1FF700033,
900000033,WOODS,BRIDGET,56,F,7584449112,7114 Gannett St.,DAVENPORT,IA,52806,ULPRE50,Unlimited Prepaid,SD3SL1FF700034,
900000034,MORRIS,KELLI,63,F,7395347257,4480 Fitzwarren Pkwy.,NEWPORT NEWS,VA,23605,450POST40,450 Minute,SD3SL1FF700035,
900000035,LESTER,ALBERT,63,M,9562620503,5770 Mattapony Blvd.,WASHINGTON,DC,20372,700POST5L70,700 Minute Family,SD3SL1FF700036,
900000036,HULL,MARLIN,45,M,9175194370,19574 W Barry Pkwy.,BAKERSFIELD,CA,93301,5503L60,550 Minute Family,SD3SL1FF700037,
900000037,PEREZ,MARLIN,27,M,5032124810,12103 Highland Ridge Ave.,NEW YORK,NY,10003,900POST60,900 Minute,SD3SL1FF700038,
900000038,ROBLES,KIETH,45,M,2783087568,19500 Ormesby Dr.,ATLANTA,GA,30321,700POST5L70,700 Minute Family,SD3SL1FF700039,
900000039,SUMMERS,JARED,67,M,9194956932,16542 Bleck Dr.,LOS ANGELES,CA,90065,450POST40,450 Minute,SD3SL1FF700040,
900000040,LIVINGSTON,GARY,64,M,6990528853,12271 Duchaine Ave.,MELBOURNE,FL,32902,ULPRE50,Unlimited Prepaid,SD3SL1FF700041,
900000041,CORTEZ,ROGELIO,34,M,7989423707,14664 Harroway St.,ATHENS,GA,30605,ULPRE50,Unlimited Prepaid,SD3SL1FF700042,
900000042,CRAIG,LYNNE,43,F,9783009091,12998 McKanna Pkwy.,DENVER,CO,80221,250PRE25,250 Minute Prepaid,SD3SL1FF700043,
900000043,FOX,WILFRED,52,M,4596945713,7311 Seat Pleasant St.,BALTIMORE,MD,21268,700POST5L70,700 Minute Family,SD3SL1FF700044,
900000044,KERR,RODGER,48,M,2675498917,6495 Kearney Dr.,JEFFERSON CITY,MO,65108,900POST60,900 Minute,SD3SL1FF700045,
900000045,LEBLANC,MILES,55,M,2714247010,10755 Bryant Pkwy.,VALLEY FORGE,PA,19484,2100POST5L110,2100 Minute Family,SD3SL1FF700046,
900000046,MACDONALD,CECELIA,36,F,8967815379,4898 Washington Brice Pkwy.,ATLANTA,GA,31191,450POST40,450 Minute,SD3SL1FF700047,
900000047,FINCH,GERARDO,32,M,6679553544,14887 Hidden Springs Dr.,NEWPORT BEACH,CA,92659,450POST40,450 Minute,SD3SL1FF700048,
900000048,HIGGINS,NICKOLAS,33,M,5566068866,5028 Barrow Green Dr.,SAN DIEGO,CA,92161,250PRE25,250 Minute Prepaid,SD3SL1FF700049,
900000049,CONWAY,KENDALL,32,M,5957295027,17803 Bodega Way,SYRACUSE,NY,13207,700POST5L70,700 Minute Family,SD3SL1FF700050,
900000050,OSBORNE,FELIX,54,M,2489257422,11790 Sandelwood Way,CHARLESTON,WV,25361,ULPOST5L120,2100 Minute Family,SD3SL1FF700051,
900000051,WALKER,ROB,34,M,7692884950,16613 East Canyon Pkwy.,ALBANY,NY,12245,900POST60,900 Minute,SD3SL1FF700052,
900000052,CARDENAS,NANCY,63,F,7653704115,558 Cariann Dr.,MURFREESBORO,TN,37129,ULPOST5L120,2100 Minute Family,SD3SL1FF700053,
900000053,DANIELS,AHMAD,62,M,4933685433,13691 Rheam Ln.,INDIANAPOLIS,IN,46255,250PRE25,250 Minute Prepaid,SD3SL1FF700054,
900000054,JORDAN,RACHAEL,38,F,6397245168,10966 N Wilson Pkwy.,PASADENA,TX,77502,700POST5L70,700 Minute Family,SD3SL1FF700055,
900000055,HATFIELD,TY,19,M,2383267013,3597 Norton Heath St.,CHARLESTON,WV,25365,ULPRE50,Unlimited Prepaid,SD3SL1FF700056,
900000056,WORKMAN,WILLA,46,F,6904015105,1184 St Matthew St.,PEORIA,IL,61604,5503L60,550 Minute Family,SD3SL1FF700057,
900000057,MILLS,PHIL,64,M,4836274385,18828 East Coast Dr.,LOS ANGELES,CA,90080,250PRE25,250 Minute Prepaid,SD3SL1FF700058,
900000058,HAYNES,JONI,37,F,2698248333,12652 Michaels St.,GAINESVILLE,FL,32605,450POST40,450 Minute,SD3SL1FF700059,
900000059,OLSEN,BYRON,34,M,3907893238,9671 Park Nicollet Blvd.,OAKLAND,CA,94649,250PRE25,250 Minute Prepaid,SD3SL1FF700060,
900000060,ROBINSON,CARSON,33,M,7509953352,4511 Penderbrooke Pkwy.,SAN JOSE,CA,95111,250PRE25,250 Minute Prepaid,SD3SL1FF700061,
900000061,HAYDEN,MARTA,30,F,8785673925,2459 Larentia St.,DES MOINES,IA,50391,900POST60,900 Minute,SD3SL1FF700062,
900000062,SAUNDERS,BLAINE,18,M,7445527768,13927 Timbercreek Pkwy.,AUSTIN,TX,78708,700POST5L70,700 Minute Family,SD3SL1FF700063,
900000063,COOK,ROBERTO,33,M,9052519939,17573 Bournemouth St.,PHILADELPHIA,PA,19102,450POST40,450 Minute,SD3SL1FF700064,
900000064,FOX,ESPERANZA,63,F,2876894620,18737 Weller Blvd.,LEES SUMMIT,MO,64065,250PRE25,250 Minute Prepaid,SD3SL1FF700065,
900000065,BYRD,RUTH,63,F,4647705332,13991 Nomini Dr.,FRESNO,CA,93705,ULPRE50,Unlimited Prepaid,SD3SL1FF700066,
900000066,MCKAY,LOTTIE,63,F,2118927873,8023 Herontye Dr.,LAKEWOOD,WA,98499,ULPRE50,Unlimited Prepaid,SD3SL1FF700067,
900000067,PRESTON,LYNN,56,F,9308262041,17916 Stonecrest Way,MESA,AZ,85206,450POST40,450 Minute,SD3SL1FF700068,
900000068,MANNING,MORGAN,49,M,8609127399,14727 Butler Dr.,CHARLESTON,WV,25312,ULPOST70,Unlimited,SD3SL1FF700069,
900000069,AVILA,HEIDI,48,F,4146628444,16319 Beadlow Ln.,SCHENECTADY,NY,12306,ULPRE50,Unlimited Prepaid,SD3SL1FF700070,
900000070,HUBBARD,LEO,37,M,6637463293,5324 McCarty Ln.,AURORA,IL,60502,1400POST5L90,1400 Minute Family,SD3SL1FF700071,
900000071,GIBSON,AUGUSTINE,53,M,5246799159,10273 N Martine Hwy.,AUSTIN,TX,78731,700POST5L70,700 Minute Family,SD3SL1FF700072,
900000072,MCLAUGHLIN,SHAWN,35,F,4952112337,12449 Hermon Hill  Chigwell St.,PASADENA,CA,91185,ULPOST5L120,2100 Minute Family,SD3SL1FF700073,
900000073,TAYLOR,BRANDI,22,F,5547324159,3585 Horizon Ave.,DAYTON,OH,45439,ULPRE50,Unlimited Prepaid,SD3SL1FF700074,
900000074,KELLY,LAURIE,67,F,9514699915,1724 Shelleys Way,LAS VEGAS,NV,89179,250PRE25,250 Minute Prepaid,SD3SL1FF700075,
900000075,CRUZ,LESSIE,56,F,6764924199,15570 South Charles Dr.,TOPEKA,KS,66619,450POST40,450 Minute,SD3SL1FF700076,
900000076,PRINCE,DELBERT,57,M,2583698069,16718 Ness Pkwy.,MIDLAND,MI,48670,ULPOST70,Unlimited,SD3SL1FF700077,
900000077,STEWART,MERRILL,22,M,3616393732,5418 Maryvale Ln.,BILLINGS,MT,59108,700POST5L70,700 Minute Family,SD3SL1FF700078,
900000078,COLLIER,ETHEL,55,F,2109573391,11530 Julianne Way,OAKLAND,CA,94649,250PRE25,250 Minute Prepaid,SD3SL1FF700079,
900000079,REED,ROMAN,45,M,7848467117,3427 S Holly Dr.,NORFOLK,VA,23501,900POST60,900 Minute,SD3SL1FF700080,
900000080,GILES,ABIGAIL,69,F,7444323423,17912 Vicar Park St.,TUCSON,AZ,85757,1400POST5L90,1400 Minute Family,SD3SL1FF700081,
900000081,HARRINGTON,REFUGIO,50,M,6544922564,11918 W Glenbarr St.,CLEVELAND,OH,44188,ULPOST5L120,2100 Minute Family,SD3SL1FF700082,
900000082,EWING,DIANNE,31,F,2518295097,6636 Gaslight St.,CHICAGO,IL,60651,ULPRE50,Unlimited Prepaid,SD3SL1FF700083,
900000083,SOTO,RUPERT,36,M,8072325437,13877 West Cutting Blvd.,BLOOMINGTON,IL,61799,700POST5L70,700 Minute Family,SD3SL1FF700084,
900000084,NICHOLSON,MELINDA,67,F,9945569593,6961 Laud Honm St.,LEXINGTON,KY,40579,ULPRE2D,Unlimited Prepaid,SD3SL1FF700085,
900000085,UNDERWOOD,HANS,21,M,6489658299,11520 Jada Dr.,WASHINGTON,DC,20036,900POST60,900 Minute,SD3SL1FF700086,
900000086,CAMPOS,PAIGE,44,F,8386315532,16976 Split Creek Ave.,CORONA,CA,92882,900POST60,900 Minute,SD3SL1FF700087,
900000087,BRADFORD,ROSETTA,40,F,9653263232,6089 Wine Way,NEW YORK,NY,10157,700POST5L70,700 Minute Family,SD3SL1FF700088,
900000088,BECKER,FEDERICO,65,M,5176896350,1386 Sacremento Dr.,WICHITA,KS,67210,ULPOST70,Unlimited,SD3SL1FF700089,
900000089,ROWE,ALISHA,19,F,7576778603,4947 Worlds End Hwy.,ORLANDO,FL,32854,700POST5L70,700 Minute Family,SD3SL1FF700090,
900000090,OSBORN,BILLIE,46,M,8273715217,16351 West Lawton Pkwy.,NEW YORK,NY,10256,ULPRE50,Unlimited Prepaid,SD3SL1FF700091,
900000091,KOCH,CARISSA,46,F,7449878253,3414 Silver Moon Blvd.,HOUSTON,TX,77077,ULPOST5L120,2100 Minute Family,SD3SL1FF700092,
900000092,WILDER,JULIUS,35,M,7861226284,5702 Deane Croft Ave.,TACOMA,WA,98419,700POST5L70,700 Minute Family,SD3SL1FF700093,
900000093,ARMSTRONG,JESUS,28,M,2655552793,15077 Fisk Mill St.,SACRAMENTO,CA,94269,700POST5L70,700 Minute Family,SD3SL1FF700094,
900000094,TATE,FOREST,35,M,7546794461,1681 Cristy Blvd.,DENVER,CO,80251,5503L60,550 Minute Family,SD3SL1FF700095,
900000095,PATEL,ISSAC,19,M,9852673957,16576 Streitz St.,RALEIGH,NC,27606,2100POST5L110,2100 Minute Family,SD3SL1FF700096,
900000096,NIXON,DESMOND,47,M,5888146004,15555 Thrimley Ave.,EL PASO,TX,88585,900POST60,900 Minute,SD3SL1FF700097,
900000097,VAUGHAN,ROGELIO,70,M,4065297599,9569 Pray St.,SAINT LOUIS,MO,63199,250PRE25,250 Minute Prepaid,SD3SL1FF700098,
900000098,MCDANIEL,THOMAS,24,M,6053649661,14825 Raap Ln.,LINCOLN,NE,68506,250PRE25,250 Minute Prepaid,SD3SL1FF700099,
900000099,FARLEY,SUSAN,65,F,4402714709,6172 Hunston Ln.,MILWAUKEE,WI,53293,ULPRE50,Unlimited Prepaid,SD3SL1FF700100,
900000100,HOOVER,BRAIN,27,M,5637929054,12685 John Miller Way,DALLAS,TX,75225,2100POST5L110,2100 Minute Family,SD3SL1FF700101,
900000101,CHANG,VONDA,21,F,9479146892,10781 Aquino Blvd.,BATON ROUGE,LA,70835,250PRE25,250 Minute Prepaid,SD3SL1FF700102,
900000102,HAMMOND,ARLENE,36,F,9507888550,18666 Label St.,PHILADELPHIA,PA,19114,1400POST5L90,1400 Minute Family,SD3SL1FF700103,
900000103,WALL,ADAM,21,M,4994196558,16298 Quinnhill Dr.,LOS ANGELES,CA,90102,250PRE25,250 Minute Prepaid,SD3SL1FF700104,
900000104,HINTON,CHERI,53,F,9717275014,266 Damen Ave.,YOUNG AMERICA,MN,55394,ULPRE2D,Unlimited Prepaid,SD3SL1FF700105,
900000105,MAXWELL,JAYNE,65,F,7732517043,5188 Ashington Ave.,MACON,GA,31206,ULPRE50,Unlimited Prepaid,SD3SL1FF700106,
900000106,COLON,ZACHARY,36,M,7389527621,15487 Jim Veal Dr.,RICHMOND,VA,23232,700POST5L70,700 Minute Family,SD3SL1FF700107,
900000107,SARGENT,FAUSTINO,18,M,2437896307,81 S Centurion Pkwy.,SALEM,OR,97311,900POST60,900 Minute,SD3SL1FF700108,
900000108,GUTIERREZ,ELBA,65,F,5339024603,12942 Hilaire Ave.,READING,PA,19605,5503L60,550 Minute Family,SD3SL1FF700109,
900000109,GREGORY,ISIDRO,64,M,2463787207,17104 Gold Course Ln.,CINCINNATI,OH,45203,1400POST5L90,1400 Minute Family,SD3SL1FF700110,
900000110,SHANNON,OTTO,43,M,5598992744,302 Squirrel Hollow Dr.,WASHINGTON,DC,20444,450POST40,450 Minute,SD3SL1FF700111,
900000254,WILLIAM,ETTA,68,F,2545473319,9299 River Front St.,GAITHERSBURG,MD,20882,900POST60,900 Minute,SD3SL1FF700112,
900000112,WHITE,CAMILLE,45,F,8412076491,9662 Shawn Leigh Way,DES MOINES,IA,50313,450POST40,450 Minute,SD3SL1FF700113,
900000113,GRIFFIN,DIANNA,35,F,5287919856,16115 Prunedale Ave.,CHICAGO,IL,60666,ULPRE50,Unlimited Prepaid,SD3SL1FF700114,
900000114,GALLOWAY,ALEJANDRA,64,F,8849123858,11693 Cross Catherine Blvd.,LOS ANGELES,CA,90004,2100POST5L110,2100 Minute Family,SD3SL1FF700115,
900000115,PAYNE,DAWN,21,F,4207448776,11156 S Hobble Bush St.,KISSIMMEE,FL,34747,ULPRE50,Unlimited Prepaid,SD3SL1FF700116,
900000116,GALLAGHER,VALERIA,42,F,6816417935,2991 Vista Gardens Dr.,ALBUQUERQUE,NM,87104,250PRE25,250 Minute Prepaid,SD3SL1FF700117,
900000117,HARRISON,EMILY,41,F,6767795939,2837 Old Samuel Ln.,JACKSONVILLE,FL,32211,700POST5L70,700 Minute Family,SD3SL1FF700118,
900000118,PAYNE,CHARLES,61,M,9663025797,7645 De Normandie Ln.,SILVER SPRING,MD,20918,900POST60,900 Minute,SD3SL1FF700119,
900000119,GRANT,MONTE,29,M,8404363744,11161 Tacketts Mill Dr.,FORT PIERCE,FL,34979,700POST5L70,700 Minute Family,SD3SL1FF700120,
900000120,DECKER,JORDAN,41,F,5274709621,18644 Berta Canyon Dr.,DALLAS,TX,75265,2100POST5L110,2100 Minute Family,SD3SL1FF700121,
900000121,HARRINGTON,TAYLOR,49,F,9388648144,7158 Bangor St.,NEW YORK,NY,10174,ULPRE50,Unlimited Prepaid,SD3SL1FF700122,
900000122,MERRITT,LOTTIE,65,F,5504495084,17923 Lightburn Ln.,SAN ANTONIO,TX,78295,250PRE25,250 Minute Prepaid,SD3SL1FF700123,
900000123,ARNOLD,DUANE,46,M,3319299958,13901 Coral St.,PITTSBURGH,PA,15236,ULPRE2D,Unlimited Prepaid,SD3SL1FF700124,
900000124,FREDERICK,ESTHER,69,F,6356769295,5269 Fontenoy Ave.,VALLEY FORGE,PA,19494,ULPOST70,Unlimited,SD3SL1FF700125,
900000125,YANG,WILLIE,23,M,9972649303,8411 Bovey Ln.,MUNCIE,IN,47307,700POST5L70,700 Minute Family,SD3SL1FF700126,
900000126,HUNT,MOISES,62,M,9085123333,17989 Sacombs Ash St.,SIMI VALLEY,CA,93094,ULPRE50,Unlimited Prepaid,SD3SL1FF700127,
900000127,CLAYTON,MARYLOU,70,F,3837707681,16526 Saxonia Pkwy.,TAMPA,FL,33651,ULPRE50,Unlimited Prepaid,SD3SL1FF700128,
900000128,MONROE,ESTELLE,54,F,6195578403,7030 Carrisa St.,SAN JOSE,CA,95159,250PRE25,250 Minute Prepaid,SD3SL1FF700129,
900000129,SPENCER,LACY,21,F,3132134043,11034 Rancho Caballo Ave.,PORTLAND,ME,4102,ULPRE2D,Unlimited Prepaid,SD3SL1FF700130,
900000130,RUIZ,RHEA,70,F,2438087173,17846 Ferrier Blvd.,EL PASO,TX,88533,900POST60,900 Minute,SD3SL1FF700131,
900000131,HUTCHINSON,ROCKY,31,M,6599868623,333 Broken Twig St.,FORT LAUDERDALE,FL,33328,ULPOST5L120,2100 Minute Family,SD3SL1FF700132,
900000132,BERRY,KENYA,31,F,6942464026,12850 Glenwix Ln.,SCOTTSDALE,AZ,85254,700POST5L70,700 Minute Family,SD3SL1FF700133,
900000133,GILLIAM,NUMBERS,38,M,9584348920,11833 Buens Ave.,WICHITA,KS,67275,250PRE25,250 Minute Prepaid,SD3SL1FF700134,
900000134,TUCKER,ELMER,35,M,5142027901,774 Ambrose St.,SAN ANTONIO,TX,78294,5503L60,550 Minute Family,SD3SL1FF700135,
900000135,LLOYD,LOU,70,F,4542986515,11805 East Bianchi Hwy.,NEWPORT NEWS,VA,23608,5503L60,550 Minute Family,SD3SL1FF700136,
900000136,LE,MITZI,21,F,2289827261,14714 Whelden St.,SAN ANGELO,TX,76904,700POST5L70,700 Minute Family,SD3SL1FF700137,
900000137,SNIDER,MARCELINO,64,M,9356976067,7319 Thurlow Park Ave.,TUCSON,AZ,85708,ULPRE50,Unlimited Prepaid,SD3SL1FF700138,
900000138,PHELPS,MARIANA,40,F,7782184771,14068 W Rumsey Blvd.,ATLANTA,GA,30392,ULPRE50,Unlimited Prepaid,SD3SL1FF700139,
900000139,ZIMMERMAN,CHARMAINE,41,F,9935346401,14654 Whiteley Croft Blvd.,SYRACUSE,NY,13211,ULPRE50,Unlimited Prepaid,SD3SL1FF700140,
900000140,BROWN,PHOEBE,21,F,7599909544,13185 Harkin Ln.,BOCA RATON,FL,33429,5503L60,550 Minute Family,SD3SL1FF700141,
900000141,STOKES,JEANNETTE,21,F,9194285713,9755 Swan Creek St.,MANCHESTER,NH,3105,ULPRE50,Unlimited Prepaid,SD3SL1FF700142,
900000142,HUNT,ROSA,26,F,8179815503,5418 Harker Dr.,NEW YORK,NY,10037,700POST5L70,700 Minute Family,SD3SL1FF700143,
900000143,HOUSE,BEAU,20,M,9358289314,12302 East Sutton Way,SAINT LOUIS,MO,63119,900POST60,900 Minute,SD3SL1FF700144,
900000144,FLOYD,CORA,51,F,8755898933,14957 Silverwater St.,DETROIT,MI,48223,ULPRE50,Unlimited Prepaid,SD3SL1FF700145,
900000145,FARLEY,LIZZIE,49,F,3964266616,10666 Burhill Blvd.,SCHENECTADY,NY,12305,ULPRE50,Unlimited Prepaid,SD3SL1FF700146,
900000146,BUCKNER,CORA,21,F,2637128268,17491 Fire Barn Ave.,STOCKTON,CA,95201,ULPRE50,Unlimited Prepaid,SD3SL1FF700147,
900000147,SHEPHERD,MONTE,30,M,6887123380,1763 Monnow Blvd.,DALLAS,TX,75320,450POST40,450 Minute,SD3SL1FF700148,
900000148,TATE,BRITTNEY,27,F,2272527949,13725 Marcey Way,COLUMBUS,OH,43223,450POST40,450 Minute,SD3SL1FF700149,
900000149,BAKER,BRIGITTE,68,F,5966207316,9452 Paladin St.,NORMAN,OK,73072,450POST40,450 Minute,SD3SL1FF700150,
900000150,WATSON,MITCH,50,M,3337805823,365 Brigantine St.,KNOXVILLE,TN,37922,ULPRE50,Unlimited Prepaid,SD3SL1FF700151,
900000151,CARSON,EDMUND,47,M,2885756376,7143 Glamis Dr.,KANSAS CITY,MO,64163,5503L60,550 Minute Family,SD3SL1FF700152,
900000152,WILDER,CARLA,30,F,4392273413,2578 Pendennis Ave.,SAN FRANCISCO,CA,94158,1400POST5L90,1400 Minute Family,SD3SL1FF700153,
900000153,DANIEL,FREDDIE,56,M,9863028355,4912 Kollum Dr.,MEMPHIS,TN,38136,900POST60,900 Minute,SD3SL1FF700154,
900000154,BOWMAN,ROYAL,48,M,8743496532,9601 Allied Pkwy.,SAN ANTONIO,TX,78298,900POST60,900 Minute,SD3SL1FF700155,
900000155,CORTEZ,PASQUALE,51,M,3668553088,18886 Bruce Castle Way,OKLAHOMA CITY,OK,73131,450POST40,450 Minute,SD3SL1FF700156,
900000156,HARRINGTON,ELDON,29,M,6995043510,1953 Ard Hwy.,HARRISBURG,PA,17103,700POST5L70,700 Minute Family,SD3SL1FF700157,
900000157,ACOSTA,REYNA,67,F,5107125946,2206 N Sayre Ln.,WASHINGTON,DC,20068,250PRE25,250 Minute Prepaid,SD3SL1FF700158,
900000158,HOLDEN,BURT,58,M,5595724003,3511 Turra St.,INDIANAPOLIS,IN,46242,5503L60,550 Minute Family,SD3SL1FF700159,
900000159,MCDOWELL,LUCIEN,56,M,6835466031,15388 Thorold St.,SAN DIEGO,CA,92128,250PRE25,250 Minute Prepaid,SD3SL1FF700160,
900000160,EMERSON,ANNMARIE,40,F,4166164533,12356 Byran St.,PITTSBURGH,PA,15219,ULPRE50,Unlimited Prepaid,SD3SL1FF700161,
900000161,HERNANDEZ,JANIS,36,F,3549529563,2530 S Liverpool St.,READING,PA,19608,700POST5L70,700 Minute Family,SD3SL1FF700162,
900000162,CLEMENTS,GENEVIEVE,56,F,2197528606,13055 Melsa Way,CARSON CITY,NV,89721,ULPRE2D,Unlimited Prepaid,SD3SL1FF700163,
900000163,WILKINSON,ELLIOT,67,M,4105283165,2339 Liberty Oak Ave.,COLUMBUS,OH,43260,ULPRE50,Unlimited Prepaid,SD3SL1FF700164,
900000164,MCCORMICK,NEIL,38,M,7506958863,16379 Portrero Dr.,ANAHEIM,CA,92814,250PRE25,250 Minute Prepaid,SD3SL1FF700165,
900000165,CONRAD,ELLA,48,F,5168807861,3735 Trinity Way,HARRISBURG,PA,17120,900POST60,900 Minute,SD3SL1FF700166,
900000166,STANTON,SHELIA,62,F,5642546649,15557 St Michaels Hwy.,KANSAS CITY,KS,66115,2100POST5L110,2100 Minute Family,SD3SL1FF700167,
900000167,PADILLA,IRENE,62,F,5987569894,14062 Woody Creek Dr.,CLEVELAND,OH,44112,900POST60,900 Minute,SD3SL1FF700168,
900000168,MARQUEZ,ROBERT,19,F,2938748695,7188 Clayfarm Dr.,FAYETTEVILLE,NC,28301,700POST5L70,700 Minute Family,SD3SL1FF700169,
900000169,MCFADDEN,TONIA,33,F,9009086516,18675 Kiltie Ln.,LAKE CHARLES,LA,70602,ULPRE50,Unlimited Prepaid,SD3SL1FF700170,
900000170,BURCH,ETTA,60,F,9106309046,12931 South Pine Way,FLUSHING,NY,11358,900POST60,900 Minute,SD3SL1FF700171,
900000171,RYAN,DWAYNE,63,M,4573968632,13539 Spiro Ave.,WASHINGTON,DC,20441,5503L60,550 Minute Family,SD3SL1FF700172,
900000172,SANDERS,RICKEY,64,M,7878345321,16289 Mulkern Hwy.,SAN FRANCISCO,CA,94150,700POST5L70,700 Minute Family,SD3SL1FF700173,
900000173,LOWE,APRIL,28,F,4979918051,3554 S Franklin Ln.,SAN JOSE,CA,95170,250PRE25,250 Minute Prepaid,SD3SL1FF700174,
900000174,HAHN,MYRNA,53,F,7665187791,7854 Flagler Pkwy.,CINCINNATI,OH,45268,ULPOST5L120,2100 Minute Family,SD3SL1FF700175,
900000175,CHRISTIAN,CATHY,34,F,4418344936,5007 Old Graham Hill St.,DURHAM,NC,27715,900POST60,900 Minute,SD3SL1FF700176,
