epoch,_time,customer,action,account,clientIP
1532066087,2018/07/20 01:54:47 EDT,Jeanette,browse,100025,161.17.235.148
1532069909,2018/07/20 02:58:29 EDT,Ross,browse,100026,153.75.236.81
1532096891,2018/07/20 10:28:11 EDT,Elton,browse,100027,219.188.3.205
1532089360,2018/07/20 08:22:40 EDT,Rhona,browse,100028,219.188.3.205
1532082620,2018/07/20 06:30:20 EDT,Hadassah,browse,100029,194.8.168.11
1532057134,2018/07/19 23:25:34 EDT,Driscoll,browse,100030,13.0.240.146
1532075667,2018/07/20 04:34:27 EDT,Lydia,browse,100031,154.160.48.22
1532126263,2018/07/20 18:37:43 EDT,Josiah,browse,100032,194.8.168.11
1532078333,2018/07/20 05:18:53 EDT,Gil,browse,100033,213.227.253.168
1532129640,2018/07/20 19:34:00 EDT,Amity,browse,100034,213.227.253.168
1532114742,2018/07/20 15:25:42 EDT,Clark,browse,100035,194.8.168.11
1532087795,2018/07/20 07:56:35 EDT,Amir,browse,100036,153.75.236.81
1532112512,2018/07/20 14:48:32 EDT,Kylee,browse,100037,213.227.253.168
1532060721,2018/07/20 00:25:21 EDT,John,browse,100038,194.8.168.11
1532130605,2018/07/20 19:50:05 EDT,Hasad,browse,100039,153.75.236.81
1532061606,2018/07/20 00:40:06 EDT,Piper,browse,100040,161.17.235.148
1532096323,2018/07/20 10:18:43 EDT,Dalton,browse,100041,161.17.235.148
1532046719,2018/07/19 20:31:59 EDT,Bo,browse,100042,2.255.23.61
1532090459,2018/07/20 08:40:59 EDT,Wyoming,browse,100043,219.188.3.205
1532089824,2018/07/20 08:30:24 EDT,Ainsley,browse,100044,169.38.116.191
1532123205,2018/07/20 17:46:45 EDT,Emerald,browse,100045,153.75.236.81
1532129961,2018/07/20 19:39:21 EDT,Tatiana,browse,100046,13.0.240.146
1532128157,2018/07/20 19:09:17 EDT,Dustin,browse,100047,194.8.168.11
1532090908,2018/07/20 08:48:28 EDT,Warren,browse,100048,153.75.236.81
1532059693,2018/07/20 00:08:13 EDT,Kelsie,browse,100049,161.17.235.148
1532126943,2018/07/20 18:49:03 EDT,Candice,browse,100050,161.17.235.148
1532053719,2018/07/19 22:28:39 EDT,Talon,error,100051,213.227.253.168
1532112061,2018/07/20 14:41:01 EDT,Urielle,browse,100052,2.255.23.61
1532061644,2018/07/20 00:40:44 EDT,Dorian,browse,100053,213.227.253.168
1532093425,2018/07/20 09:30:25 EDT,Dora,cancelled,100054,153.75.236.81
1532103394,2018/07/20 12:16:34 EDT,Nina,browse,100055,245.204.254.59
1532055036,2018/07/19 22:50:36 EDT,Armando,browse,100056,2.255.23.61
1532075335,2018/07/20 04:28:55 EDT,Jameson,error,100058,2.255.23.61
1532067448,2018/07/20 02:17:28 EDT,Ramona,browse,100059,153.75.236.81
1532066100,2018/07/20 01:55:00 EDT,Lester,browse,100061,219.188.3.205
1532054671,2018/07/19 22:44:31 EDT,Tanisha,browse,100062,213.227.253.168
1532073812,2018/07/20 04:03:32 EDT,Logan,browse,100063,245.204.254.59
1532068457,2018/07/20 02:34:17 EDT,Francis,browse,100064,219.188.3.205
1532053000,2018/07/19 22:16:40 EDT,MacKenzie,browse,100065,194.8.168.11
1532124171,2018/07/20 18:02:51 EDT,Michael,error,100066,2.255.23.61
1532124446,2018/07/20 18:07:26 EDT,Macey,browse,100067,154.160.48.22
1532048780,2018/07/19 21:06:20 EDT,Ferdinand,browse,100068,245.204.254.59
1532109275,2018/07/20 13:54:35 EDT,Mark,browse,100069,153.75.236.81
1532085715,2018/07/20 07:21:55 EDT,Yardley,cancelled,100070,169.38.116.191
1532088686,2018/07/20 08:11:26 EDT,Micah,browse,100071,154.160.48.22
1532095856,2018/07/20 10:10:56 EDT,Keiko,browse,100072,213.227.253.168
1532066202,2018/07/20 01:56:42 EDT,Drake,browse,100073,13.0.240.146
1532129676,2018/07/20 19:34:36 EDT,Chava,browse,100074,194.8.168.11
1532064316,2018/07/20 01:25:16 EDT,Tashya,browse,100075,13.0.240.146
1532064265,2018/07/20 01:24:25 EDT,Alma,browse,100076,219.188.3.205
1532125442,2018/07/20 18:24:02 EDT,Timothy,browse,100077,245.204.254.59
1532078841,2018/07/20 05:27:21 EDT,Adria,browse,100078,153.75.236.81
1532083808,2018/07/20 06:50:08 EDT,Yolanda,browse,100079,154.160.48.22
1532054268,2018/07/19 22:37:48 EDT,Audrey,edit_profile,100080,161.17.235.148
1532108981,2018/07/20 13:49:41 EDT,Lunea,browse,100081,169.38.116.191
1532049725,2018/07/19 21:22:05 EDT,Lara,browse,100083,213.227.253.168
1532075351,2018/07/20 04:29:11 EDT,Chester,browse,100084,245.204.254.59
1532058330,2018/07/19 23:45:30 EDT,Baxter,browse,100085,153.75.236.81
1532082294,2018/07/20 06:24:54 EDT,India,edit_profile,100086,245.204.254.59
1532052599,2018/07/19 22:09:59 EDT,Hedwig,browse,100087,245.204.254.59
1532085551,2018/07/20 07:19:11 EDT,Xaviera,browse,100088,161.17.235.148
1532113652,2018/07/20 15:07:32 EDT,Cullen,cancelled,100089,194.8.168.11
1532114999,2018/07/20 15:29:59 EDT,Patience,browse,100090,153.75.236.81
1532111828,2018/07/20 14:37:08 EDT,Elliott,browse,100091,153.75.236.81
1532065814,2018/07/20 01:50:14 EDT,Vera,browse,100092,219.188.3.205
1532065834,2018/07/20 01:50:34 EDT,Vera,browse,100092,187.174.175.250
1532076652,2018/07/20 04:50:52 EDT,Sheila,browse,100093,13.0.240.146
1532105082,2018/07/20 12:44:42 EDT,Kelly,browse,100094,213.227.253.168
1532045149,2018/07/19 20:05:49 EDT,Mollie,browse,100095,169.38.116.191
1532080585,2018/07/20 05:56:25 EDT,Cherokee,browse,100096,13.0.240.146
1532074568,2018/07/20 04:16:08 EDT,Carissa,cancelled,100097,169.38.116.191
1532075990,2018/07/20 04:39:50 EDT,Hamilton,browse,100098,153.75.236.81
1532054883,2018/07/19 22:48:03 EDT,Harper,browse,100099,13.0.240.146
1532054893,2018/07/19 22:48:13 EDT,Harper,browse,100099,13.0.240.146
1532053883,2018/07/19 22:31:23 EDT,Harper,browse,100099,13.0.240.146
1532052883,2018/07/19 22:14:43 EDT,Harper,browse,100099,213.227.253.168
1532051897,2018/07/19 21:58:17 EDT,Harper,browse,100099,13.0.240.146
