customer,_time,status,original_balance
Harriet,2019/02/21 12:28:57 EST,active,7663
Hedda,2019/02/21 12:03:05 EST,active,8249
Herman,2019/02/21 12:38:24 EST,active,11019
Hilary,2019/02/21 12:17:02 EST,active,14794
Hiroko,2019/02/21 12:11:03 EST,active,6979
Hyacinth,2019/02/21 11:59:16 EST,active,12231
Ian,2019/02/21 12:05:47 EST,active,11249
Ifeoma,2019/02/21 12:21:17 EST,active,11871
Imani,2019/02/21 12:00:44 EST,suspended,10053
Irma,2019/02/21 12:00:59 EST,active,14141
Ivan,2019/02/21 12:24:11 EST,active,9511
Jack,2019/02/21 12:48:26 EST,active,11377
Jaime,2019/02/21 12:13:38 EST,active,6147
James,2019/02/21 12:27:25 EST,active,8513
Jason,2019/02/21 12:36:04 EST,active,14176
Jelani,2019/02/21 12:32:00 EST,active,11247
Jena,2019/02/21 12:25:34 EST,active,7810
Jolene,2019/02/21 12:13:27 EST,terminated,10103
Jolie,2019/02/21 11:54:24 EST,active,8566
Justina,2019/02/21 12:35:37 EST,active,9238
Kareem,2019/02/21 12:44:18 EST,active,14245
Kaye,2019/02/21 11:54:36 EST,active,12133
Keane,2019/02/21 12:06:05 EST,active,14374
Keegan,2019/02/21 12:48:29 EST,active,6421
Keelie,2019/02/21 12:50:11 EST,active,11939
Kelsie,2019/02/21 12:00:04 EST,active,14099
Kermit,2019/02/21 12:12:33 EST,active,7837
Kessie,2019/02/21 12:51:17 EST,active,14078
Kevin,2019/02/21 12:50:27 EST,active,6145
Kirk,2019/02/21 12:25:29 EST,active,9320
Kitra,2019/02/21 12:23:20 EST,active,11800
Kylynn,2019/02/21 12:18:05 EST,active,12596
Lance,2019/02/21 12:45:27 EST,active,6381
Lee,2019/02/21 12:36:53 EST,active,6509
Leroy,2019/02/21 11:54:06 EST,active,11103
Lev,2019/02/21 12:39:49 EST,active,6029
Lewis,2019/02/21 12:06:52 EST,active,11179
Lila,2019/02/21 11:57:49 EST,active,9878
Lucius,2019/02/21 12:17:18 EST,active,10784
Lynn,2019/02/21 12:48:38 EST,active,12372
MacKenzie,2019/02/21 12:41:17 EST,active,12717
Macaulay,2019/02/21 12:16:23 EST,active,11892
Macy,2019/03/01 02:11:16 EST,active,500
Madonna,2019/02/21 11:59:50 EST,active,6719
Maggie,2019/02/21 12:53:19 EST,active,9617
Maggy,2019/02/21 12:06:21 EST,active,11740
Maris,2019/02/21 12:17:37 EST,active,6395
Mary,2019/02/21 12:48:54 EST,active,7589
Meghan,2019/02/21 12:02:07 EST,active,7463
Melyssa,2019/02/21 12:32:55 EST,active,10040
Mia,2019/02/21 11:54:51 EST,active,6395
Mira,2019/02/21 12:06:31 EST,active,13819
Molly,2019/02/21 12:47:50 EST,active,6788
Murphy,2019/02/21 12:15:01 EST,active,8235
Nehru,2019/02/21 12:47:45 EST,active,10829
Ocean,2019/02/21 12:32:55 EST,active,10570
Octavia,2019/02/21 12:53:15 EST,active,9091
Odysseus,2019/02/21 11:55:09 EST,active,12406
Omar,2019/02/21 12:14:46 EST,active,12733
Otto,2019/02/21 12:16:20 EST,active,13162
Owen,2019/02/21 12:34:07 EST,active,10012
Paula,2019/02/21 12:50:45 EST,active,11813
Penelope,2019/02/21 12:21:28 EST,active,8028
Petra,2019/02/21 12:31:18 EST,active,8332
Phelan,2019/02/21 12:08:33 EST,active,8453
Quincy,2019/02/21 12:36:14 EST,active,8531
Quyn,2019/02/21 12:24:33 EST,active,8521
Quynn,2019/02/21 12:33:57 EST,active,7666
Rama,2019/02/21 12:00:04 EST,active,14462
Randall,2019/02/21 12:31:27 EST,active,11922
Rashad,2019/02/21 12:25:49 EST,active,11014
Raya,2019/02/21 12:31:42 EST,active,13888
Raymond,2019/02/21 12:44:23 EST,active,11271
Rhea,2019/02/21 12:47:01 EST,active,8716
Rhoda,2019/02/21 12:47:08 EST,active,13839
Ria,2019/02/21 12:45:21 EST,active,6557
Rigel,2019/02/21 12:36:18 EST,active,9610
Rina,2019/02/21 12:47:59 EST,active,11022
Robin,2019/02/21 11:59:27 EST,active,9812
Rogan,2019/02/21 12:02:55 EST,active,14252
Sara,2019/02/21 12:08:18 EST,active,7172
Shelley,2019/02/21 12:40:24 EST,active,7378
Shoshana,2019/02/21 12:07:31 EST,active,12257
Signe,2019/02/21 12:18:02 EST,active,9960
Stacey,2019/02/21 12:29:05 EST,active,11586
Talon,2019/02/21 12:37:20 EST,active,13831
Tarik,2019/02/21 12:12:09 EST,active,12249
Tatyana,2019/02/21 12:00:26 EST,active,7214
Tyler,2019/02/21 12:35:52 EST,active,11016
Uriah,2019/02/21 11:55:06 EST,active,10177
Walker,2019/02/21 12:27:36 EST,active,8229
Xander,2019/02/21 12:06:31 EST,active,11180
Yoshi,2019/02/21 12:30:33 EST,active,11287
Yvonne,2019/02/21 12:21:51 EST,active,12787
Zahir,2019/02/21 12:21:59 EST,active,9527
Zelenia,2019/02/21 12:33:38 EST,active,11795
Zenia,2019/02/21 12:46:57 EST,active,12447
