epoch,_time,customer,amount,action,channel
1550797084,2019/02/21 19:58:04 EST,Lunea,374,withdrawal,phone
1550744721,2019/02/21 05:25:21 EST,Justin,401,withdrawal,phone
1550772256,2019/02/21 13:04:16 EST,Dominic,809,withdrawal,phone
1550799155,2019/02/21 20:32:35 EST,Lesley,699,withdrawal,mobile
1550791149,2019/02/21 18:19:09 EST,Mikayla,214,withdrawal,phone
1550740852,2019/02/21 04:20:52 EST,Denise,857,withdrawal,branch
1550754321,2019/02/21 08:05:21 EST,Cain,349,withdrawal,branch
1550765358,2019/02/21 11:09:18 EST,Hoyt,969,withdrawal,branch
1550788197,2019/02/21 17:29:57 EST,Caleb,974,withdrawal,branch
1550769850,2019/02/21 12:24:10 EST,Audra,219,withdrawal,branch
1550793687,2019/02/21 19:01:27 EST,Kibo,602,withdrawal,branch
1550799103,2019/02/21 20:31:43 EST,Rhonda,477,withdrawal,mobile
1550757634,2019/02/21 09:00:34 EST,Christen,375,withdrawal,branch
1550782126,2019/02/21 15:48:46 EST,Upton,903,withdrawal,branch
1550748588,2019/02/21 06:29:48 EST,Darrel,833,withdrawal,branch
1550781354,2019/02/21 15:35:54 EST,Joy,278,withdrawal,mobile
1550795192,2019/02/21 19:26:32 EST,Perry,371,withdrawal,phone
1550783248,2019/02/21 16:07:28 EST,Alden,369,withdrawal,branch
1550781856,2019/02/21 15:44:16 EST,Solomon,186,withdrawal,mobile
1550760288,2019/02/21 09:44:48 EST,Castor,264,withdrawal,mobile
1550787602,2019/02/21 17:20:02 EST,Maia,274,withdrawal,mobile
1550766514,2019/02/21 11:28:34 EST,Gannon,321,withdrawal,phone
1550744828,2019/02/21 05:27:08 EST,Lavinia,812,withdrawal,phone
1550752072,2019/02/21 07:27:52 EST,Rowan,424,withdrawal,branch
1550779810,2019/02/21 15:10:10 EST,Laith,209,withdrawal,phone
1550750608,2019/02/21 07:03:28 EST,Libby,649,withdrawal,mobile
1550783095,2019/02/21 16:04:55 EST,Janna,424,withdrawal,phone
1550797159,2019/02/21 19:59:19 EST,Gage,205,withdrawal,mobile
1550799394,2019/02/21 20:36:34 EST,Nicholas,106,withdrawal,mobile
1550769846,2019/02/21 12:24:06 EST,Wynter,543,withdrawal,mobile
1550753957,2019/02/21 07:59:17 EST,Amaya,622,withdrawal,branch
1550792444,2019/02/21 18:40:44 EST,Adria,197,withdrawal,phone
1550745265,2019/02/21 05:34:25 EST,Eaton,992,withdrawal,branch
1550770668,2019/02/21 12:37:48 EST,Daphne,489,withdrawal,phone
1550798157,2019/02/21 20:15:57 EST,Sloane,894,withdrawal,mobile
1550776017,2019/02/21 14:06:57 EST,Fritz,346,withdrawal,phone
1550773494,2019/02/21 13:24:54 EST,Abel,593,withdrawal,branch
1550773554,2019/02/21 12:25:54 EST,Abel,580,withdrawal,mobile
1550787123,2019/02/21 17:12:03 EST,Lacota,780,withdrawal,branch
1550771559,2019/02/21 12:52:39 EST,Cody,977,withdrawal,phone
1550778075,2019/02/21 14:41:15 EST,Joel,810,withdrawal,phone
1550785766,2019/02/21 16:49:26 EST,Upton,541,withdrawal,mobile
1550777534,2019/02/21 14:32:14 EST,Sheila,569,withdrawal,phone
1550772324,2019/02/21 13:05:24 EST,Colby,560,withdrawal,mobile
1550767462,2019/02/21 11:44:22 EST,Velma,751,withdrawal,branch
1550797547,2019/02/21 20:05:47 EST,Dolan,912,withdrawal,branch
1550791305,2019/02/21 18:21:45 EST,Keith,262,withdrawal,branch
1550755450,2019/02/21 08:24:10 EST,Dean,369,withdrawal,mobile
1550756022,2019/02/21 08:33:42 EST,Nita,214,withdrawal,mobile
1550793096,2019/02/21 18:51:36 EST,Jeanette,241,withdrawal,branch
1550792503,2019/02/21 18:41:43 EST,Kameko,769,withdrawal,mobile
1550763797,2019/02/21 10:43:17 EST,Lane,529,withdrawal,phone
1550782071,2019/02/21 15:47:51 EST,Rahim,162,withdrawal,branch
1550767933,2019/02/21 11:52:13 EST,Ahmed,766,withdrawal,phone
1550763059,2019/02/21 10:30:59 EST,Nomlanga,804,withdrawal,mobile
1550742584,2019/02/21 04:49:44 EST,Alan,809,withdrawal,phone
1550765961,2019/02/21 11:19:21 EST,Whilemina,761,withdrawal,mobile
1550787036,2019/02/21 17:10:36 EST,Pandora,838,withdrawal,phone
1550764405,2019/02/21 10:53:25 EST,Jaquelyn,294,withdrawal,mobile
1550765207,2019/02/21 11:06:47 EST,Thane,456,withdrawal,branch
1550763344,2019/02/21 10:35:44 EST,Rosalyn,514,withdrawal,mobile
1550777839,2019/02/21 14:37:19 EST,Philip,687,withdrawal,branch
1550740422,2019/02/21 04:13:42 EST,Marny,899,withdrawal,phone
1550788429,2019/02/21 17:33:49 EST,Gretchen,761,withdrawal,mobile
1550791475,2019/02/21 18:24:35 EST,Adara,410,withdrawal,phone
1550767199,2019/02/21 11:39:59 EST,Porter,775,withdrawal,phone
1550761975,2019/02/21 10:12:55 EST,Lois,230,withdrawal,phone
1550763830,2019/02/21 10:43:50 EST,Sonia,599,withdrawal,branch
1550790430,2019/02/21 18:07:10 EST,Orli,299,withdrawal,mobile
1550790230,2019/02/21 18:03:50 EST,Colt,317,withdrawal,branch
1550770936,2019/02/21 12:42:16 EST,Lila,903,withdrawal,branch
1550749271,2019/02/21 06:41:11 EST,Hanna,978,withdrawal,phone
1550741121,2019/02/21 04:25:21 EST,Eric,481,withdrawal,branch
1550744866,2019/02/21 05:27:46 EST,Karyn,273,withdrawal,phone
1550765923,2019/02/21 11:18:43 EST,Basia,557,withdrawal,phone
1550759329,2019/02/21 09:28:49 EST,Cadman,321,withdrawal,mobile
1550754533,2019/02/21 08:08:53 EST,Victor,407,withdrawal,mobile
1550778108,2019/02/21 14:41:48 EST,Lucian,929,withdrawal,mobile
1550741623,2019/02/21 04:33:43 EST,Scott,608,withdrawal,branch
1550749068,2019/02/21 06:37:48 EST,Guinevere,926,withdrawal,phone
1550788981,2019/02/21 17:43:01 EST,Giacomo,623,withdrawal,branch
1550768581,2019/02/21 12:03:01 EST,Glenna,520,withdrawal,mobile
1550758575,2019/02/21 09:16:15 EST,Eden,558,withdrawal,mobile
1550799034,2019/02/21 20:30:34 EST,Cynthia,534,withdrawal,branch
1550782655,2019/02/21 15:57:35 EST,Guinevere,244,withdrawal,mobile
1550768856,2019/02/21 12:07:36 EST,Deirdre,680,withdrawal,phone
1550751140,2019/02/21 07:12:20 EST,Brett,319,withdrawal,branch
1550777303,2019/02/21 14:28:23 EST,Linda,512,withdrawal,phone
1550795397,2019/02/21 19:29:57 EST,Ursa,909,withdrawal,phone
1550797439,2019/02/21 20:03:59 EST,Chaim,860,withdrawal,branch
1550782653,2019/02/21 15:57:33 EST,Idona,610,withdrawal,mobile
1550758682,2019/02/21 09:18:02 EST,Jeanette,364,withdrawal,mobile
1550772379,2019/02/21 13:06:19 EST,Nasim,159,withdrawal,branch
1550783710,2019/02/21 16:15:10 EST,Alec,670,withdrawal,branch
1550759592,2019/02/21 09:33:12 EST,Camilla,385,withdrawal,phone
1550762120,2019/02/21 10:15:20 EST,Scarlet,661,withdrawal,mobile
1550776496,2019/02/21 14:14:56 EST,Dustin,797,withdrawal,branch
1550770738,2019/02/21 12:38:58 EST,Sydnee,835,withdrawal,phone
1550746786,2019/02/21 05:59:46 EST,Carol,209,withdrawal,phone
1550751313,2019/02/21 07:15:13 EST,Paloma,441,withdrawal,branch
1550753438,2019/02/21 07:50:38 EST,Joelle,345,withdrawal,mobile
1550769700,2019/02/21 12:21:40 EST,Amanda,722,withdrawal,phone
1550778574,2019/02/21 14:49:34 EST,Mollie,303,withdrawal,mobile
1550746947,2019/02/21 06:02:27 EST,Grady,301,withdrawal,branch
1550788621,2019/02/21 17:37:01 EST,Yael,870,withdrawal,phone
1550761202,2019/02/21 10:00:02 EST,Kyle,490,withdrawal,mobile
1550772967,2019/02/21 13:16:07 EST,Yetta,827,withdrawal,branch
1550764581,2019/02/21 10:56:21 EST,Myles,464,withdrawal,branch
1550750446,2019/02/21 07:00:46 EST,Jakeem,485,withdrawal,phone
1550740127,2019/02/21 04:08:47 EST,Ivory,411,withdrawal,mobile
1550794238,2019/02/21 19:10:38 EST,Gray,287,withdrawal,branch
1550789824,2019/02/21 17:57:04 EST,Benedict,552,withdrawal,phone
1550772176,2019/02/21 13:02:56 EST,Susan,860,withdrawal,branch
1550778343,2019/02/21 14:45:43 EST,Paki,789,withdrawal,branch
1550758422,2019/02/21 09:13:42 EST,Tatum,278,withdrawal,mobile
1550761133,2019/02/21 09:58:53 EST,Gray,974,withdrawal,branch
1550797364,2019/02/21 20:02:44 EST,Kennan,867,withdrawal,phone
1550754076,2019/02/21 08:01:16 EST,Ignatius,789,withdrawal,branch
1550753870,2019/02/21 07:57:50 EST,Burton,824,withdrawal,phone
1550783006,2019/02/21 16:03:26 EST,Ariel,271,withdrawal,mobile
1550746490,2019/02/21 05:54:50 EST,Dara,537,withdrawal,phone
1550787729,2019/02/21 17:22:09 EST,Allen,545,withdrawal,branch
1550780890,2019/02/21 15:28:10 EST,Celeste,600,withdrawal,phone
1550792966,2019/02/21 18:49:26 EST,Emmanuel,976,withdrawal,phone
1550769341,2019/02/21 12:15:41 EST,Galena,499,withdrawal,mobile
1550782677,2019/02/21 15:57:57 EST,Hashim,862,withdrawal,branch
1550784596,2019/02/21 16:29:56 EST,Claire,169,withdrawal,mobile
1550781055,2019/02/21 15:30:55 EST,Kenneth,219,withdrawal,branch
1550762314,2019/02/21 10:18:34 EST,Warren,436,withdrawal,mobile
1550756988,2019/02/21 08:49:48 EST,Michelle,210,withdrawal,mobile
1550792118,2019/02/21 18:35:18 EST,Maggie,427,withdrawal,branch
1550751998,2019/02/21 07:26:38 EST,Zena,699,withdrawal,mobile
1550744205,2019/02/21 05:16:45 EST,Amena,976,withdrawal,branch
1550765737,2019/02/21 11:15:37 EST,Walker,719,withdrawal,phone
1550767174,2019/02/21 11:39:34 EST,Risa,198,withdrawal,branch
1550759175,2019/02/21 09:26:15 EST,Eaton,722,withdrawal,phone
1550751171,2019/02/21 07:12:51 EST,Tad,956,withdrawal,mobile
1550753142,2019/02/21 07:45:42 EST,Oscar,332,withdrawal,mobile
1550766838,2019/02/21 11:33:58 EST,Herman,371,withdrawal,mobile
1550793127,2019/02/21 18:52:07 EST,Maryam,748,withdrawal,phone
1550745479,2019/02/21 05:37:59 EST,Cherokee,554,withdrawal,mobile
1550745675,2019/02/21 05:41:15 EST,Brent,730,withdrawal,branch
1550773751,2019/02/21 13:29:11 EST,Sierra,700,withdrawal,mobile
1550766881,2019/02/21 11:34:41 EST,Hyatt,992,withdrawal,mobile
1550748554,2019/02/21 06:29:14 EST,Imelda,745,withdrawal,mobile
1550759583,2019/02/21 09:33:03 EST,Myles,847,withdrawal,phone
1550790463,2019/02/21 18:07:43 EST,Carla,164,withdrawal,mobile
1550746079,2019/02/21 05:47:59 EST,Dale,604,withdrawal,phone
1550740380,2019/02/21 04:13:00 EST,Alec,333,withdrawal,branch
1550740018,2019/02/21 04:06:58 EST,Maryam,300,withdrawal,mobile
1550797579,2019/02/21 20:06:19 EST,Justine,456,withdrawal,phone
1550760182,2019/02/21 09:43:02 EST,Connor,172,withdrawal,branch
1550783260,2019/02/21 16:07:40 EST,Dorian,105,withdrawal,branch
1550778893,2019/02/21 14:54:53 EST,Shannon,932,withdrawal,mobile
1550777601,2019/02/21 14:33:21 EST,Hadley,591,withdrawal,mobile
1550780787,2019/02/21 15:26:27 EST,Jacob,833,withdrawal,phone
1550754776,2019/02/21 08:12:56 EST,Burton,517,withdrawal,phone
1550764923,2019/02/21 11:02:03 EST,Ross,874,withdrawal,phone
1550796184,2019/02/21 19:43:04 EST,Reagan,404,withdrawal,phone
1550746755,2019/02/21 05:59:15 EST,Vance,109,withdrawal,branch
1550780150,2019/02/21 15:15:50 EST,Rama,882,withdrawal,mobile
1550757066,2019/02/21 08:51:06 EST,Hanae,899,withdrawal,branch
1550772398,2019/02/21 13:06:38 EST,Ali,249,withdrawal,branch
1550739975,2019/02/21 04:06:15 EST,Joshua,772,withdrawal,mobile
1550770235,2019/02/21 12:30:35 EST,Francesca,484,withdrawal,branch
1550799291,2019/02/21 20:34:51 EST,Candace,510,withdrawal,phone
1550797422,2019/02/21 20:03:42 EST,Frances,622,withdrawal,branch
1550794381,2019/02/21 19:13:01 EST,Grady,711,withdrawal,phone
1550794979,2019/02/21 19:22:59 EST,Odessa,911,withdrawal,phone
1550791710,2019/02/21 18:28:30 EST,Emmanuel,357,withdrawal,branch
1550756275,2019/02/21 08:37:55 EST,Ginger,151,withdrawal,mobile
1550767163,2019/02/21 11:39:23 EST,Timothy,994,withdrawal,branch
1550777250,2019/02/21 14:27:30 EST,Quin,970,withdrawal,branch
1550787042,2019/02/21 17:10:42 EST,Davis,108,withdrawal,phone
1550770599,2019/02/21 12:36:39 EST,Sierra,387,withdrawal,mobile
1550764737,2019/02/21 10:58:57 EST,Hillary,607,withdrawal,phone
1550769653,2019/02/21 12:20:53 EST,Kylynn,864,withdrawal,branch
1550764498,2019/02/21 10:54:58 EST,Wylie,699,withdrawal,phone
1550764372,2019/02/21 10:52:52 EST,Chester,439,withdrawal,mobile
1550768862,2019/02/21 12:07:42 EST,Heather,506,withdrawal,mobile
1550790063,2019/02/21 18:01:03 EST,Vernon,464,withdrawal,branch
1550764906,2019/02/21 11:01:46 EST,Abel,391,withdrawal,phone
1550779657,2019/02/21 15:07:37 EST,Isabelle,897,withdrawal,branch
1550753439,2019/02/21 07:50:39 EST,Anika,818,withdrawal,mobile
1550748562,2019/02/21 06:29:22 EST,Zeph,777,withdrawal,branch
1550767259,2019/02/21 11:40:59 EST,Axel,758,withdrawal,phone
1550740193,2019/02/21 04:09:53 EST,Tate,241,withdrawal,mobile
1550780338,2019/02/21 15:18:58 EST,Owen,333,withdrawal,mobile
1550779584,2019/02/21 15:06:24 EST,Lana,705,withdrawal,phone
1550763456,2019/02/21 10:37:36 EST,Kathleen,186,withdrawal,phone
1550744634,2019/02/21 05:23:54 EST,Gannon,750,withdrawal,phone
1550752195,2019/02/21 07:29:55 EST,Kay,635,withdrawal,branch
1550762905,2019/02/21 10:28:25 EST,Rebekah,320,withdrawal,branch
1550764134,2019/02/21 10:48:54 EST,Wang,302,withdrawal,mobile
1550776427,2019/02/21 14:13:47 EST,Illana,891,withdrawal,phone
1550781328,2019/02/21 15:35:28 EST,Stephen,274,withdrawal,branch
1550785478,2019/02/21 16:44:38 EST,Ima,558,withdrawal,branch
1550781305,2019/02/21 15:35:05 EST,Emmanuel,125,withdrawal,mobile
1550743879,2019/02/21 05:11:19 EST,Matthew,721,withdrawal,branch
1550785851,2019/02/21 16:50:51 EST,Aurelia,179,withdrawal,phone
1550793118,2019/02/21 18:51:58 EST,Amanda,699,withdrawal,branch
1550751883,2019/02/21 07:24:43 EST,Galena,171,withdrawal,mobile
1550778804,2019/02/21 14:53:24 EST,Wesley,722,withdrawal,phone
1550746076,2019/02/21 05:47:56 EST,Elvis,469,withdrawal,branch
1550753233,2019/02/21 07:47:13 EST,Sonia,903,withdrawal,branch
1550748774,2019/02/21 06:32:54 EST,Mikayla,823,withdrawal,phone
1550782760,2019/02/21 15:59:20 EST,Whitney,588,withdrawal,mobile
1550784779,2019/02/21 16:32:59 EST,Paul,236,withdrawal,mobile
1550795830,2019/02/21 19:37:10 EST,Tashya,238,withdrawal,mobile
1550785137,2019/02/21 16:38:57 EST,Elmo,355,withdrawal,mobile
1550758947,2019/02/21 09:22:27 EST,Naida,154,withdrawal,mobile
1550770170,2019/02/21 12:29:30 EST,Kalia,958,withdrawal,mobile
1550741406,2019/02/21 04:30:06 EST,Hillary,204,withdrawal,branch
1550765712,2019/02/21 11:15:12 EST,Chloe,281,withdrawal,mobile
1550781485,2019/02/21 15:38:05 EST,Kyle,613,withdrawal,phone
1550755337,2019/02/21 08:22:17 EST,Evan,723,withdrawal,mobile
1550761242,2019/02/21 10:00:42 EST,Ezekiel,109,withdrawal,phone
1550782446,2019/02/21 15:54:06 EST,Urielle,906,withdrawal,phone
1550790949,2019/02/21 18:15:49 EST,Kirk,650,withdrawal,phone
1550792561,2019/02/21 18:42:41 EST,Mariko,110,withdrawal,mobile
1550779787,2019/02/21 15:09:47 EST,Miriam,699,withdrawal,phone
1550772304,2019/02/21 13:05:04 EST,Hop,815,withdrawal,phone
1550771880,2019/02/21 12:58:00 EST,Hasad,102,withdrawal,branch
1550795665,2019/02/21 19:34:25 EST,Aquila,914,withdrawal,branch
1550741895,2019/02/21 04:38:15 EST,Perry,536,withdrawal,branch
1550788393,2019/02/21 17:33:13 EST,Desirae,563,withdrawal,branch
1550770116,2019/02/21 12:28:36 EST,Bree,512,withdrawal,mobile
1550781114,2019/02/21 15:31:54 EST,Callum,742,withdrawal,mobile
1550785914,2019/02/21 16:51:54 EST,Nolan,681,withdrawal,phone
1550750194,2019/02/21 06:56:34 EST,Carly,439,withdrawal,branch
1550764816,2019/02/21 11:00:16 EST,Zephania,929,withdrawal,phone
1550778966,2019/02/21 14:56:06 EST,Kyra,859,withdrawal,mobile
1550747200,2019/02/21 06:06:40 EST,Callum,903,withdrawal,phone
1550752791,2019/02/21 07:39:51 EST,Edan,174,withdrawal,branch
